citekey,doi,title,year,surname,source
hassemer2020,10.1016/j.biocontrol.2020.104326,"Development of an attract-and-infect device for biological control of lesser mealworm, Alphitobius diaperinus (Coleoptera: Tenebrionidae) in poultry houses",2020,Hassemer,sqlite:99-excluded
khun2021,10.1038/s41598-021-81647-0,Transmission of Metarhizium anisopliae and Beauveria bassiana to adults of Kuschelorhynchus macadamiae (Coleoptera: Curculionidae) from infected adults and conidiated cadavers,2021,Khun,sqlite:99-excluded
ment2023,10.3390/insects14120918,"Efficacy of Entomopathogenic Fungi as Prevention against Early Life Stages of the Red Palm Weevil, Rhynchophorus ferrugineus (Coleoptera: Curculionidae) in Laboratory and Greenhouse Trials",2023,Ment,sqlite:99-excluded
migiro2010,10.1603/en09359,Pathogenicity of Entomopathogenic Fungi <i>Metarhizium anisopliae</i> and <i>Beauveria bassiana</i> (Hypocreales: Clavicipitaceae) Isolates to the Adult Pea Leafminer (Diptera: Agromyzidae) and Prospects of an Autoinoculation Device for Infection in the Field,2010,Migiro,sqlite:99-excluded
nascimento2020,10.1007/s10493-020-00466-6,"Laboratory and field evaluation of an autoinoculation device as a tool to manage poultry red mite, Dermanyssus gallinae, infestations with Beauveria bassiana",2020,Nascimento,sqlite:99-excluded
ombura2024,10.3389/fmicb.2024.1472324,Dual suppression of Glossina pallidipes using entomopathogenic fungal-based biopesticides and sterile insect technique,2024,Ombura,sqlite:99-excluded
onsongo2022,10.3390/insects13100859,"The Entomopathogenic Fungi Metarhizium anisopliae and Beauveria bassiana for Management of the Melon Fly Zeugodacus cucurbitae: Pathogenicity, Horizontal Transmission, and Compatability with Cuelure",2022,Onsongo,sqlite:99-excluded
paradza2021,10.1016/j.heliyon.2021.e08277,Virulence and horizontal transmission of Metarhizium anisopliae by the adults of the greenhouse whitefly Trialeurodes vaporariorum (Hemiptera: Aleyrodidae) and the efficacy of oil formulations against its nymphs,2021,Paradza,sqlite:99-excluded
paris2023,10.1093/jme/tjad099,"Evaluation of In2Care mosquito stations for suppression of the Australian backyard mosquito, <i>Aedes notoscriptus</i> (Diptera: Culicidae)",2023,Paris,sqlite:99-excluded
reyes-villanueva2021,10.3389/fcimb.2021.616679,Estimating Contact Rates Between Metarhizium anisopliae–Exposed Males With Female Aedes aegypti,2021,Reyes-Villanueva,sqlite:99-excluded
riaz2025,10.21203/rs.3.rs-7259186/v1,Bio efficacy of Indigenous isolates of Beauveria bassiana against different Stages of Bactrocera zonata (Guava Fruit fly),2025,Riaz,sqlite:99-excluded
snetselaar2014,10.1186/1756-3305-7-200,Development and evaluation of a novel contamination device that targets multiple life-stages of Aedes aegypti,2014,Snetselaar,sqlite:99-excluded
srei2017,10.1111/jen.12361,Susceptibility of <i>Dendroctonus simplex</i> to Hypocreales fungi: towards the development of a biological control strategy,2017,Srei,sqlite:99-excluded
srei2019,10.1093/jee/toz256,"Horizontal Transmission of the Entomopathogenic Fungal Isolate INRS-242 of Beauveria bassiana (Hypocreales: Cordycipitaceae) in Emerald Ash Borer, Agrilus planipennis (Coleoptera: Buprestidae)",2019,Srei,sqlite:99-excluded
srei2020,10.1093/jee/toaa226,Microbial Control of the Emerald Ash Borer (Coleoptera: Buprestidae) Using <i>Beauveria bassiana</i> (Hypocreales: Cordycipitaceae) by the Means of an Autodissemination Device,2020,Srei,sqlite:99-excluded
,,Horizontal Transmission of Beauveria bassiana in Anastrepha ludens (Diptera: Tephritidae) Under Laboratory and Field Cage Conditions,,Toledo,sqlite:99-excluded
usman2021,10.3390/microorganisms9081791,Evaluation of Locally Isolated Entomopathogenic Fungi against Multiple Life Stages of Bactrocera zonata and Bactrocera dorsalis (Diptera: Tephritidae): Laboratory and Field Study,2021,Usman,sqlite:99-excluded
xie2026,10.21203/rs.3.rs-8322768/v1,Development and field evaluation of a lure-and-infect strategy integrating attractants with Beauveria bassiana for controlling Bactrocera dorsalis,2026,Xie,sqlite:99-excluded
świergiel2016,10.1111/1744-7917.12233,"Soil application of <i>Beauveria bassiana</i> GHA against apple sawfly, <i>Hoplocampa testudinea</i> (Hymenoptera: Tenthredinidae): Field mortality and fungal persistence",2016,Świergiel,sqlite:99-excluded
sylla2013,10.1094/phyto-01-13-0014-r,Leaf Microbiota of Strawberries as Affected by Biological Control Agents,2013,Sylla,sqlite:99-excluded
aristizábal2012,10.1603/ipm11006,Implementing an Integrated Pest Management Program for Coffee Berry Borer in a Specialty Coffee Plantation in Colombia,2012,Aristizábal,sqlite:99-excluded
dlamini2019,10.4001/003.027.0279,"A Review of the Biology and Control of Phlyctinus callosus (Schönherr) (Coleoptera: Curculionidae), with Special Reference to Biological Control Using Entomopathogenic Nematodes and Fungi",2019,Dlamini,sqlite:99-excluded
kichaoui2017,10.4236/aim.2017.71009,"Isolation, Molecular Identification and under Lab Evaluation of the Entomopathogenic Fungi &lt;i&gt;M. anisopliae&lt;/i&gt; and &lt;i&gt;B. bassiana&lt;/i&gt; against the Red Palm Weevil &lt;i&gt;R. ferrugineus&lt;/i&gt; in Gaza Strip",2017,Kichaoui,sqlite:99-excluded
geremew2024,10.12688/f1000research.148658.1,Evaluation of endophytic colonization and establishment of entomopathogenic fungi against Tuta absoluta (Lepidoptera: Gelechiidae) in tomato plants,2024,Geremew,sqlite:99-excluded
morandin2001,10.1603/0022-0493-94.1.172,Effect of Bumble Bee (Hymenoptera: Apidae) Pollination Intensity on the Quality of Greenhouse Tomatoes,2001,Morandin,sqlite:99-excluded
bas2026,10.1093/jee/toag150,Adapted Koldo Belasko trap: a promising tool to reduce yellow-legged hornet pressure on beehives,2026,Bas,sqlite:99-excluded
monceau2014,10.1007/s10340-013-0537-3,Vespa velutina: a new invasive predator of honeybees in Europe,2014,Monceau,sqlite:99-excluded
butt2000,10.1079/9780851994222.0141,Bioassays of entomogenous fungi.,2000,Butt,sqlite:99-excluded
