record_index,accession_number,title,publication_year,authors,doi,article_link,cite_label,screening_category,screening_categories_all,evidence,abstract_missing,nontarget_taxa,exposure_route,effect_direction,extract_status
1175,rayyan-628419892,Simultaneous use of SIT plus disseminator devices of Beauveria bassiana enhances horizontal transmission in Anastrepha ludens,2020,"Montoya, Pablo;Flores, Salvador;Campos, Sergio;Liedo, Pablo;Toledo, Jorge",10.1111/jen.12766,https://doi.org/10.1111/jen.12766,Montoya2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,abstract,0,other_beneficial,autodissemination|trap|contaminated_forager|SIT_vector,,endpoint_in_abstract
475,rayyan-628415890,A laboratory evaluation to determine the compatibility of microbiological control agents with the pollinator Bombus terrestris,2009,"Mommaerts, Veerle;Sterk, Guido;Hoffmann, Lucien;Smagghe, Guy",10.1002/ps.1778,https://doi.org/10.1002/ps.1778,Mommaerts2009,04-nontarget-ecotox,04-nontarget-ecotox|01-existing-products,abstract,0,Bombus,unclear,adverse_or_mortality_mentioned,endpoint_in_abstract
4365,rayyan-628423313,Antimicrobial activity of a honeybee (Apis cerana) venom Kazal-type serine protease inhibitor,2013,"Kim, Bo Yeon;Lee, Kwang Sik;Zou, Feng Ming;Wan, Hu;Choi, Yong Soo;Yoon, Hyung Joo;Kwon, Hyung Wook;Je, Yeon Ho;Jin, Byung Rae",10.1016/j.toxicon.2013.09.017,https://doi.org/10.1016/j.toxicon.2013.09.017,Kim2013,04-nontarget-ecotox,04-nontarget-ecotox,abstract,0,Apis,unclear,,endpoint_in_abstract
3781,rayyan-628422714,Apolipophorin III from honeybees (Apis cerana) exhibits antibacterial activity,2015,"Kim, Bo Yeon;Jin, Byung Rae",10.1016/j.cbpb.2014.11.010,https://doi.org/10.1016/j.cbpb.2014.11.010,Kim2015,04-nontarget-ecotox,04-nontarget-ecotox,abstract,0,Apis,unclear,,endpoint_in_abstract
5140,rayyan-628424756,"Bio-pesticide applications may impair the pollination services and survival of foragers of honey bee, Apis cerana Fabricius in oilseed brassica.",2019,Challa GK;Firake DM;Behere GT,10.1016/j.envpol.2019.03.048,https://doi.org/10.1016/j.envpol.2019.03.048,Challa2019,04-nontarget-ecotox,04-nontarget-ecotox,abstract,0,Apis,foliar_spray,adverse_or_mortality_mentioned,endpoint_in_abstract
6128,rayyan-628432676,Biological control of Lygus lineolaris (Hemiptera: Miridae) and Frankliniella occidentalis (Thysanoptera: Thripidae) by Bombus impatiens (Hymenoptera: Apidae) vectored Beauveria bassiana in greenhouse sweet pepper,2006,"Al-mazra'awi, MS;Shipp, L;Broadbent, B;Kevan, P",10.1016/j.biocontrol.2005.11.014,https://doi.org/10.1016/j.biocontrol.2005.11.014,Al-mazraawi2006,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Bombus,unclear,mortality,full_text_extracted
1259,rayyan-628419984,Co-vectoring of Beauveria bassiana and Clonostachys rosea by bumble bees (Bombus impatiens) for control of insect pests and suppression of grey mould in greenhouse tomato and sweet pepper,2008,"Kapongo, JP;Shipp, L;Kevan, P;Sutton, JC",10.1016/j.biocontrol.2008.05.008,https://doi.org/10.1016/j.biocontrol.2008.05.008,Kapongo2008,04-nontarget-ecotox,04-nontarget-ecotox|01-existing-products,full-text,0,Bombus,unclear,mortality has been noted on this pest thanks to the application,full_text_extracted
212,rayyan-628415421,Colony heating protects honey bee populations from a risk of contact with wide-spectrum Beauveria bassiana insecticides applied in the field,2020,"Peng, Guoxiong;Tong, Sen-Miao;Zeng, Deyu;Xia, Yuxian;Feng, Ming-Guang",10.1002/ps.5803,https://doi.org/10.1002/ps.5803,Peng2020,04-nontarget-ecotox,04-nontarget-ecotox,abstract,0,Apis,unclear,compatible_or_low_effect,endpoint_in_abstract
4283,rayyan-628423230,Development of Beauveria bassiana dry formulation for vectoring by honey bees Apid mellifera (Hymenoptera: Apidae) to the flowers of crops for pest control,2007,"Al-Mazra'Awi, MS;Kevan, PG;Shipp, L",10.1080/09583150701484759,https://doi.org/10.1080/09583150701484759,Al-MazraAwi2007,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Apis,unclear,,full_text_extracted
5049,rayyan-628424274,"Different toxic and hormetic responses of Bombus impatiens to Beauveria bassiana, Bacillus subtilis and spirotetramat.",2013,Ramanaidu K;Cutler GC,10.1002/ps.3456,https://doi.org/10.1002/ps.3456,Ramanaidu2013,04-nontarget-ecotox,04-nontarget-ecotox,abstract,0,Bombus,direct_contact_bioassay,adverse_or_mortality_mentioned,endpoint_in_abstract
3089,rayyan-628422003,"Duration and spread of an entomopathogenic fungus, Beauveria bassiana (Deuteromycota: Hyphomycetes), used to treat varroa mites (Acari: Varroidae) in honey bee (Hymenoptera: Apidae) hives",2007,"Meikle, WG;Mercadier, G;Holst, N;Nansen, C;Girod, V",10.1603/0022-0493(2007)100[1:dasoae]2.0.co;2,https://doi.org/10.1603/0022-0493(2007)100[1:dasoae]2.0.co;2,Meikle2007,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Apis,unclear,"mortality, but they weaken",full_text_extracted
2667,rayyan-628421531,Effect of Bee-Borne Entomopathogenic Fungi and Essential Oils in Controlling Cyclamen Mite on Strawberries,2024,"KOTOMALE, Morel Libere Comlan;Kapongo, Jean Pierre;Lubusu, Alphonsine Muzinga Bin;Simo Nana, Romuald;Tokam, Donald Rostand Fopie;Mboussou, Grace Suzert Nottin",10.20944/preprints202408.0225.v1,https://doi.org/10.20944/preprints202408.0225.v1,Kotomale2024,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Bombus|other_beneficial|human,SIT_vector|foliar_spray,mortality has been noted on this pest thanks to the application,full_text_extracted
5120,rayyan-628424683,Effect of Three Entomopathogenic Fungi on Three Species of Stingless Bees (Hymenoptera: Apidae) Under Laboratory Conditions.,2016,Toledo-Hernandez RA;Ruiz-Toledo J;Toledo J;Sanchez D,10.1093/jee/tow064,https://doi.org/10.1093/jee/tow064,Toledo-Hernandez2016,04-nontarget-ecotox,04-nontarget-ecotox,abstract,0,Apis|Bombus|other_beneficial,unclear,adverse_or_mortality_mentioned,endpoint_in_abstract
1281,rayyan-628420007,"Efficacy of two fungus-based biopesticide against the honeybee ectoparasitic mite, Varroa destructor",2013,"Ahmed, Abdelaal A;Abd-Elhady, Hany K",10.3923/pjbs.2013.819.825,https://doi.org/10.3923/pjbs.2013.819.825,Ahmed2013,04-nontarget-ecotox,04-nontarget-ecotox,abstract,0,Apis,unclear,adverse_or_mortality_mentioned,endpoint_in_abstract
4436,rayyan-628423387,"Entomopathogenic fungi as potential biocontrol agents of the ecto-parasitic mite, Varroa destructor, and their effect on the immune response of honey bees (Apis mellifera L.)",2012,"Hamiduzzaman, Mollah Md;Sinia, Alice;Guzman-Novoa, Ernesto;Goodwin, Paul H",10.1016/j.jip.2012.09.001,https://doi.org/10.1016/j.jip.2012.09.001,Hamiduzzaman2012,04-nontarget-ecotox,04-nontarget-ecotox,abstract,0,Apis,unclear,adverse_or_mortality_mentioned,endpoint_in_abstract
6081,rayyan-628431886,"Evaluation of Oregano (Lippia berlandieri) Essential Oil and Entomopathogenic Fungi for Varroa destructor1 Control in Colonies of Honey Bee, Apis mellifera2",2016,"Romo-Chacon, Alejandro;Martinez-Contreras, Liz J;Molina-Corral, F Javier;Acosta-Muniz, Carlos H;Rios-Velasco, Claudio;Leon-Door, Adrian Ponce de;Rivera, Raul",,http://europepmc.org/abstract/AGR/IND605588787,Romo-Chacon2016,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Apis,unclear,mortality (% ),full_text_extracted
4977,rayyan-628424082,Evaluation of toxicity of biorational insecticides against larvae of the alfalfa weevil.,2016,Reddy GVP;Antwi FB;Shrestha G;Kuriwada T,10.1016/j.toxrep.2016.05.003,https://doi.org/10.1016/j.toxrep.2016.05.003,Reddy2016,04-nontarget-ecotox,04-nontarget-ecotox|01-existing-products,full-text,0,other_beneficial,unclear,Mortality,full_text_extracted
1564,rayyan-628420317,Exposure to a biopesticide interferes with sucrose responsiveness and learning in honey bees,2020,"Carlesso, Daniele;Smargiassi, Stefania;Sassoli, Lara;Cappa, Federico;Cervo, Rita;Baracchi, David",10.1038/s41598-020-76852-2,https://doi.org/10.1038/s41598-020-76852-2,Carlesso2020,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Apis,unclear,mortality rate due to fungus exposure is consid-,full_text_extracted
338,rayyan-628415636,"Impact of Commercial Beauveria bassiana Application on Okra (Abelmoschus esculentus) Insect Pests, Pollinator Densities and Some Growth and Fruit Parameters",2026,"I, Babayemi Hannah;T, Ayangbemi Busola;O, Filani Caroline;R, Pitan Olufemi;A, Kehinde Iyabode",10.21203/rs.3.rs-9264759/v1,https://doi.org/10.21203/rs.3.rs-9264759/v1,Unknown2026,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Apis|predator_parasitoid|human,foliar_spray,Mortality and Gut,full_text_extracted
5107,rayyan-628424641,Impact of two treatments of a formulation of Beauveria bassiana (Deuteromycota: Hyphomycetes) conidia on Varroa mites (Acari: Varroidae) and on honeybee (Hymenoptera: Apidae) colony health.,2008,Meikle WG;Mercadier G;Holst N;Girod V,10.1007/s10493-008-9160-z,https://doi.org/10.1007/s10493-008-9160-z,Meikle2008,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Apis,unclear,"mortality due to mycosis, this was not",full_text_extracted
5197,rayyan-628424977,Laboratory Risk Assessment of Three Entomopathogenic Fungi Used for Pest Control toward Social Bee Pollinators.,2022,Leite MOG;Alves DA;Lecocq A;Malaquias JB;Delalibera I Jr;Jensen AB,10.3390/microorganisms10091800,https://doi.org/10.3390/microorganisms10091800,Leite2022,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Apis|Bombus|other_beneficial,unclear,mortality rate was evaluated daily,full_text_extracted
1687,rayyan-628420447,Leaf microbiota of strawberries as affected by biological control agents,2013,"Sylla, Justine;Alsanius, Beatrix W;Kruger, Erika;Reineke, Annette;Strohmeier, Stephan;Wohanka, Walter",10.1094/phyto-01-13-0014-r,https://doi.org/10.1094/phyto-01-13-0014-r,Sylla2013,04-nontarget-ecotox,04-nontarget-ecotox|01-existing-products,full-text,0,,foliar_spray,,full_text_extracted
460,rayyan-628415859,Lethal and sublethal toxicity assessment of Bacillus thuringiensis var. israelensis and Beauveria bassiana based bioinsecticides to the aquatic insect Chironomus riparius,2019,"Bordalo, M.D.;Gravato, C.;Beleza, S.;Campos, D.;Lopes, I.;Pestana, J.L.T.",10.1016/j.scitotenv.2019.134155,https://doi.org/10.1016/j.scitotenv.2019.134155,Bordalo2019,04-nontarget-ecotox,04-nontarget-ecotox|01-existing-products,abstract,0,other_beneficial,unclear,compatible_or_low_effect,endpoint_in_abstract
2026,rayyan-628420823,Lethality of the Entomogenous Fungus Beauveria bassiana Strain NI8 on Lygus lineolaris (Hemiptera:Miridae) and its Possible Impact on Beneficial Arthropods,2017,"Portilla, Maribel;Luttrell, Randall;Snodgrass, Gordon;Zhu, Yu Cheng;Riddick, Eric",,http://europepmc.org/abstract/AGR/IND605922757,Portilla2017,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Apis|other_beneficial,foliar_spray,mortality (10 d after application) were observed among L,full_text_extracted
3815,rayyan-628422749,Pseudomonas contamination of a fungus-based biopesticide: Implications for honey bee (Hymenoptera: Apidae) health and Varroa mite (Acari: Varroidae) control,2012,"Meikle, William G;Mercadier, Guy;Guermache, Fatiha;Bon, Marie-Claude",10.1016/j.biocontrol.2011.12.004,https://doi.org/10.1016/j.biocontrol.2011.12.004,Meikle2012,04-nontarget-ecotox,04-nontarget-ecotox,abstract,0,Apis,unclear,,endpoint_in_abstract
4437,rayyan-628423388,Review on safety of the entomopathogenic fungi Beauveria bassiana and Beauveria brongniartii,2007,"Zimmermann, G",10.1080/09583150701309006,https://doi.org/10.1080/09583150701309006,Zimmermann2007,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Apis|predator_parasitoid|other_beneficial|human,unclear,mortality than did the sandy,full_text_extracted
5637,rayyan-628426091,"Selection of entomopathogenic fungus Beauveria bassiana (Deuteromycotina: Hyphomycetes) for the biocontrol of Dendroctonus ponderosae (Coleoptera: Curculionidae, Scolytinae) in Western Canada.",2021,Rosana ARR;Pokorny S;Klutsch JG;Ibarra-Romero C;Sanichar R;Engelhardt D;van Belkum MJ;Erbilgin N;Bohlmann J;Carroll AL;Vederas JC,10.1007/s00253-021-11172-7,https://doi.org/10.1007/s00253-021-11172-7,Rosana2021,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Apis,unclear,mortality rates,full_text_extracted
2274,rayyan-628421087,Side effects of a fungus-based biopesticide on stingless bee guarding behaviour,2022,"Almeida, Felipe Chagas Rocha;Magalhaes, Diego Martins;Favaris, Arodi Prado;Rodriguez, Jonathan;Azevedo, Kamila Emmanuella Xavier;Bento, Jose Mauricio Simoes;Alves, Denise Araujo",10.1016/j.chemosphere.2021.132147,https://doi.org/10.1016/j.chemosphere.2021.132147,Almeida2022,04-nontarget-ecotox,04-nontarget-ecotox,abstract,0,Apis|native_bee,unclear,,endpoint_in_abstract
5012,rayyan-628424160,"Soil application of Beauveria bassiana GHA against apple sawfly, Hoplocampa testudinea (Hymenoptera: Tenthredinidae): Field mortality and fungal persistence.",2016,Swiergiel W;Meyling NV;Porcel M;Ramert B,10.1111/1744-7917.12233,https://doi.org/10.1111/1744-7917.12233,Swiergiel2016,04-nontarget-ecotox,04-nontarget-ecotox|01-existing-products,full-text,0,,soil_drench,mortality and fungal persistence,full_text_extracted
3283,rayyan-628422200,Susceptibility of adult Aethina tumida (Coleoptera: Nitidulidae) to entomopathogenic fungi,2006,"Muerrle, TM;Neumann, P;Dames, JF;Hepburn, HR;Hill, MP",10.1093/jee/99.1.1,https://doi.org/10.1093/jee/99.1.1,Muerrle2006,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Apis,unclear,mortality in the B,full_text_extracted
2295,rayyan-628421110,Susceptibility of the Western Honey Bee Apis mellifera and the African Stingless Bee Meliponula ferruginea (Hymenoptera: Apidae) to the Entomopathogenic Fungi Metarhizium anisopliae and Beauveria bassiana,2022,"Omuse, Evanson R;Niassy, Saliou;Wagacha, John M;Ong'amo, George O;Lattorff, H Michael G;Kiatoko, Nkoba;Mohamed, Samira A;Subramanian, Sevgan;Akutse, Komivi S;Dubois, Thomas",10.1093/jee/toab211,https://doi.org/10.1093/jee/toab211,Omuse2022,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Apis,unclear,mortality to A,full_text_extracted
453,rayyan-628415847,Sustainable control of the bird cherry-oat aphid (Rhopalosiphum padi L.) in northwestern Ontario using Beauveria bassiana delivered by bumblebees,2025,"Kapongo, Jean Pierre;Kotomale, Morel Libere Comlan;Bin Lubusu, Alphonsine Muzinga;Nana, Romuald Simo;Tokam, Donald Rostand Fopie;Mboussou, Grace Suzert Nottin",10.3389/finsc.2025.1468262,https://doi.org/10.3389/finsc.2025.1468262,Kapongo2025,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,Bombus,SIT_vector|foliar_spray,mortality,full_text_extracted
4960,rayyan-628424045,Adverse effects of the fungal biopesticide Beauveria bassiana on a predatory social wasp.,2024,Cappa F;De Fazi L;Baracchi D;Cervo R,10.1016/j.scitotenv.2023.168202,https://doi.org/10.1016/j.scitotenv.2023.168202,Cappa2024,04-nontarget-ecotox,04-nontarget-ecotox|03-autodissemination-social,full-text,0,not_in_pdf,not_in_pdf,not_in_pdf,full_text_extracted
6128,rayyan-628432676,Biological control of Lygus lineolaris (Hemiptera: Miridae) and Frankliniella occidentalis (Thysanoptera: Thripidae) by Bombus impatiens (Hymenoptera: Apidae) vectored Beauveria bassiana in greenhouse sweet pepper,2006,"Al-mazra'awi, MS;Shipp, L;Broadbent, B;Kevan, P",10.1016/j.biocontrol.2005.11.014,https://doi.org/10.1016/j.biocontrol.2005.11.014,AlMazraawi2006,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,not_in_pdf,not_in_pdf,not_in_pdf,full_text_extracted
338,rayyan-628415636,"Impact of Commercial Beauveria bassiana Application on Okra (Abelmoschus esculentus) Insect Pests, Pollinator Densities and Some Growth and Fruit Parameters",2026,"I, Babayemi Hannah;T, Ayangbemi Busola;O, Filani Caroline;R, Pitan Olufemi;A, Kehinde Iyabode",10.21203/rs.3.rs-9264759/v1,https://doi.org/10.21203/rs.3.rs-9264759/v1,I2026,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,not_in_pdf,not_in_pdf,not_in_pdf,full_text_extracted
2667,rayyan-628421531,Effect of Bee-Borne Entomopathogenic Fungi and Essential Oils in Controlling Cyclamen Mite on Strawberries,2024,"KOTOMALE, Morel Libere Comlan;Kapongo, Jean Pierre;Lubusu, Alphonsine Muzinga Bin;Simo Nana, Romuald;Tokam, Donald Rostand Fopie;Mboussou, Grace Suzert Nottin",10.20944/preprints202408.0225.v1,https://doi.org/10.20944/preprints202408.0225.v1,KOTOMALE2024,04-nontarget-ecotox,04-nontarget-ecotox,full-text,0,not_in_pdf,not_in_pdf,not_in_pdf,full_text_extracted
