,type_of_reference,accession_number,title,publication_year,access_date,secondary_title,issn,alternate_title1,volume,number,start_page,authors,urls,language,doi,publisher,abstract,place_published,keywords,asreview_label,asreview_time,asreview_note,asreview_tag_existingproducts_commercialavailable,asreview_tag_existingproducts_experimental,asreview_tag_efficacymechanicsdelivery_efficacy,asreview_tag_efficacymechanicsdelivery_strainstraits,asreview_tag_efficacymechanicsdelivery_formulationdelivery_,asreview_tag_autodisseminationsocial_horizontalsporetransfer_,asreview_tag_nontargetecotox_apis,asreview_tag_nontargetecotox_bombus,asreview_tag_nontargetecotox_otherinsect,asreview_tag_nontargetecotox_othernoninstect,asreview_tag_nontargetecotox_human,asreview_tag_regulatorypolicy_euapproval,asreview_tag_regulatorypolicy_notallowed_,asreview_tag_regulatorypolicy_approvalpathways,asreview_tag_backgroundproxies_otherfungus,asreview_tag_backgroundproxies_generalbiology,asreview_tag_backgroundproxies_trapsbaits,asreview_tag_seedpaper_metaanalysis,asreview_tag_seedpaper_review,asreview_tag_seedpaper_vespavelutina,asreview_tag_seedpaper_vespideae,asreview_tag_nontargetecotox_apis-bombus,asreview_tag_nontargetecotox_othervespideae
6034,JOUR,rayyan-628429358,In vivo passages of heterologous Beauveria bassiana isolates improve conidial surface properties and pathogenicity to Nilaparvata lugens (Homoptera: Delphacidae).,2011,2,Journal of invertebrate pathology,1096-0805 (Electronic),J Invertebr Pathol,106,2,211-6,Song TT;Feng MG,https://pubmed.ncbi.nlm.nih.gov/20932842/,eng,10.1016/j.jip.2010.09.022,,"In entomopathogenic hyphomycetes, desired candidates against the brown planthopper, Nilaparvata lugens (a sap-sucking rice pest in Asia), are lacking. In this study, 21 Beauveria bassiana isolates from heterologous host insects showed low pathogenicity to third-instar nymphs sprayed at the high concentration of 1000 conidia/mm(2), causing only 2-23% mortalities. Of those, three isolates killed significantly more nymphs (up to 45-62%) after two in vivo passages but no more after further passage. Conidial hydrophobicity rates (H(r)), zeta potentials (P(z)), and subtilisin-like protease (Pr1) activities (A(p)) of these isolates showed the same trends in the three host passages (N: 0-3). In multivariate correlation, the variables N, H(r) and P(z) were found contributing 89% to the mortality variation (r(2)=0.89). Significant positive correlations were also found between H(r) and N (r(2)=0.64), P(z) and N (r(2)=0.52), A(p) and N (r(2)=0.51), H(r) and A(p) (r(2)=0.45), and P(z) and A(p) (r(2)=0.57), respectively. However, irregular changes of H(r) and P(z) occurred in four other isolates, whose pathogenicity to N. lugens was not enhanced by repeated host passages, resulting in no correlation between the variables. Our data indicate that the conidial surface properties H(r) and P(z) associated with cuticle adhesion reflect the heterologous host-induced adaptation and help to select fungal candidates against N. lugens from repeated in vivo passages.",United States,"Animals;Asia;Beauveria/isolation & purification/*pathogenicity/*physiology;Hemiptera/*microbiology;Hydrophobic and Hydrophilic Interactions;Nymph/microbiology;Oryza;Pest Control, Biological;Spores, Fungal/*physiology",,,,,,,,,,,,,,,,,,,,,,,,,,
759,JOUR,rayyan-628419451,Dual role of endophytic entomopathogenic fungi: induce plant growth and control tomato leafminer Phthorimaea absoluta,2023,11,Pest management science,1526-498X,Pest Manag Sci,79,11,4557-4568,"Zheng, Yaqiang;Liu, Yonglan;Zhang, Jinyi;Liu, Xiaolong;Ju, Zhigang;Shi, Hongxi;Mendoza-Mendoza, Artemio;Zhou, Wenwu","[""http://europepmc.org/abstract/MED/37431839"", ""https://doi.org/10.1002/ps.7657""]",eng,10.1002/ps.7657,,"BackgroundEntomopathogenic fungi (EPF) are multifunctional microorganisms acting not only as biopesticides against insect pests but also as endophytes which regulate plant growth. The tomato leafminer, Phthorimaea absoluta (Tuta absoluta) is a devastating invasive pest of tomatoes worldwide. However, effective alternatives are needed for a sustainable management of this invasive pest. In this study, the functional effects of five EPF isolates Metarhizium flavoviride, M. anisopliae, M. rileyi, Cordyceps fumosorosea and Beauveria bassiana were evaluated on tomato growth promotion and pest protection against P. absoluta.ResultsWhen directly sprayed with conidia, P. absoluta larvae showed high cumulative mortality of 100% to M. anisopliae under 1 108 conidia/mL, whereas M. flavoviride, B. bassiana, C. fumosorosea and M. rileyi caused cumulative mortality of 92.65%, 92.62%, 92.16% and 68.95%, respectively. Moreover, all five EPF isolates can successfully colonize tomato plants, whilst the colonization rate for each EPF depends on the inoculation method used. The most efficient inoculation method for M. flavoviride and M. rileyi was root dipping, for M. anisopliae and C. fumosorosea it was coating seed, and for B. bassiana it was foliage spraying. The highest plant colonization was obtained by M. flavoviride. Meanwhile, all these isolates promoted tomato plant growth upon inoculation. Furthermore, endophytic colonization of plants by the five EPF nega",,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,JOUR,rayyan-628415299,"Virulence of select entomopathogenic fungi to the brown marmorated stink bug, Halyomorpha halys (Stal) (Heteroptera: Pentatomidae)",2012,1,Pest Management Science,,,68,2,155-157,"Gouli, Vladimir;Gouli, Svetlana;Skinner, Margaret;Hamilton, George;Kim, Jae Su;Parker, Bruce L",https://app.dimensions.ai/details/publication/pub.1040227962,,10.1002/ps.2310,,"The brown marmorated stink bug. Halyomorpha halys, (BMSB) is an exotic pest causing damage to fruits and vegetables. They also transmit diseases. Integrated pest management strategies are lacking for this invasive. For the first time, information is presented on the virulence of several entomopathogenic fungi against BMSB. Three Beauveria bassiana and two Metarhizium anispoliae isolates were bioassayed against adult BMSB. One B. bassiana isolate was the active ingredient in BotaniGard(R) which produced 85 and 100% mortality in 9 and 12 days post treatment, respectively. Experimental isolates ERL 1170 and ERL 1540 were also efficacious. Metarhizium anispoliae isolates produced lower mortalities than the B. bassiana isolates. Data presented showed the potential for management of BMSB with entomopathogenic fungi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,JOUR,rayyan-628415445,Evaluation of the entomopathogenic fungus Metarhizium brunneum and the predatory mite Stratiolaelaps scimitus against Rhizoglyphus robini under laboratory conditions,2022,,Experimental and Applied Acarology,,,87,1,19-29,"Ghalehgolabbehbahani, Arash;Sullivan, Cheryl Frank;Davari, Agrin;Parker, Bruce L.;Razavi, Ali;Skinner, Margaret",https://app.dimensions.ai/details/publication/pub.1148838342,,10.1007/s10493-022-00719-6,,"Rhizoglyphus robini Claparede (Acari: Acaridae) is a pest of bulbs, corms and tubers of several economically important crops. The biological control of R. robini has yet to be fully explored as an alternative to chemical pesticides. Entomopathogenic fungi in the genera Metarhizium (Hypocreales: Clavicipitaceae) are used for the biological control of several agricultural pests. The soil-dwelling predatory mite, Stratiolaelaps scimitus (Womersley) (Acari: Acaridae) is also frequently used alone or in combination with other biological control agents. There are few reports on the use of M. brunneum or S. scimutus against R. robini. The objectives of this research were to investigate the in vitro effect of different predatory mite ratios of S. scimitus on R. robini mortality and the combined use of a M. brunneum-based granule with S. scimitus as potential strategies to manage this pest. Mortality of R. robini in Petri dishes containing predators was significantly higher than without predators. When soil-filled containers containing R. robini were treated with both M. brunneum granules and S. scimitus, the lower densities of the bulb mite were obtained with the highest ratio of predator/prey mites. The number of bulb mites in the containers treated with only M. brunneum was significantly lower than the untreated control. These results demonstrate the potential for releasing of S. scimitus alone and in combination with M. brunneum granules to manage R. robini.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,JOUR,rayyan-628419640,"Strain selection of a fungal entomopathogen, Beauveria bassiana, for control of plant bugs (Lygus spp.) (Heteroptera: Miridae)",2005,11,Biological Control.,1049-9644,Biol Control,35,2,104-114,"Leland, JE;McGuire, MR;Grace, JA;Jaronski, ST;Ulloa, M;Park, YH;Plattner, RD","[""http://europepmc.org/abstract/AGR/IND43759204"", ""https://doi.org/10.1016/j.biocontrol.2005.06.005""]",eng,10.1016/j.biocontrol.2005.06.005,,"Beauveria bassiana (Balsamo) isolates from Lygus hesperus (Knight) and Lygus lineolaris (Palisot de Beauvois) are being evaluated as potential microbial control candidates for both Lygus species. Based on previous work with a large collection of isolates from both Lygus species, eight isolates were evaluated for characteristics relevant to mycoinsecticide development. These characteristics included pathogenicity to the two Lygus spp., in vitro conidia production, temperature growth optima, tolerance to solar radiation, and production of beauvericin. Comparisons were made with a commercial isolate (GHA). Isolates from L. hesperus and L. lineolaris were more pathogenic than GHA with many being more than an order of magnitude more pathogenic based on LC50 values. All isolates from L. hesperus and two from L. lineolaris grew faster at 32 degrees C than GHA. The isolates selected from L. hesperus were the most tolerant to exposure to simulated solar radiation. Isolates from L. lineolaris and L. hesperus were most closely related to other isolates from their same host species and all of these isolates were only distantly related to GHA. Interestingly, one isolate from L. lineolaris in Mississippi was more closely related to an isolate from L. lineolaris in Arkansas than to other isolates from L. lineolaris from the same county in Mississippi. Optimizing conidia production conditions for a select isolate may be necessary for practical development of a select isolate from Lygus spp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,JOUR,rayyan-628415943,"Applications of Beauveria bassiana (Hypocreales: Cordycipitaceae) to Control Populations of Spotted Lanternfly (Hemiptera: Fulgoridae), in Semi-Natural Landscapes and on Grapevines",2020,6,Environmental Entomology,,,49,4,854-864,"Clifton, Eric H;Hajek, Ann E;Jenkins, Nina E;Roush, Richard T;Rost, John P;Biddinger, David J",https://app.dimensions.ai/details/publication/pub.1127525982,,10.1093/ee/nvaa064,,"Spotted lanternfly, Lycorma delicatula (White), is an invasive Asian insect that was initially found in Berks County, Pennsylvania, in 2014. As of early 2020, this pest had been found in five more eastern states and it is expected to continue to expand its geographical range. Lycorma delicatula is highly polyphagous but seems to prefer tree-of-heaven, Ailanthus altissima. However, grape growers in Pennsylvania have reported significant damage and loss of vines caused by L. delicatula adults. In fall 2018, two fungal entomopathogens (Beauveria bassiana and Batkoa major) drove localized collapses in L. delicatula populations in Berks County, Pennsylvania. In 2019, we tested applications of a commercialized mycoinsecticide based on B. bassiana strain GHA on L. delicatula populations in a public park in southeastern Pennsylvania. A single application of B. bassiana reduced fourth instar nymphs by 48% after 14 d. Applications of B. bassiana to L. delicatula adults in the same park resulted in 43% mortality after 14 d. Beauveria bassiana spores remained viable on foliage for 5-7 d after spraying. We also conducted semi-field bioassays with B. bassiana GHA (formulated as BoteGHA and Aprehend) and another mycoinsecticide containing Isaria fumosorosea Apopka Strain 97 against L. delicatula adults feeding on potted grapes. All the mycoinsecticides killed 90% of adults after 9 d using direct applications. Aprehend killed 99% of adults after 9 d with exposure to residues on sprayed grap",,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,JOUR,rayyan-628415155,Impact of the Diet on the Mortality and on Gene Expression of the Antimicrobial Peptide Tenecin 3 in Tenebrio molitor Larvae Infected by Beauveria bassiana,2023,4,Insects,2075-4450,Insects,14,4,359,"Candian, Valentina;Tedeschi, Rosemarie","[""http://europepmc.org/abstract/MED/37103174"", ""https://www.mdpi.com/2075-4450/14/4/359/pdf?version=1680592401""]",eng,10.3390/insects14040359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2932,JOUR,rayyan-628421840,Genetic Variability of Beauveria bassiana and a DNA Marker for Environmental Monitoring of a Highly Virulent Isolate Against Cosmopolites sordidus,2012,12,Indian journal of microbiology,0046-8991,Indian J Microbiol,52,4,569-574,"Ferri, DV;Munhoz, CF;Neves, P M O;Ferracin, LM;Sartori, D;Vieira, M L C;Fungaro, M H P","[""http://europepmc.org/abstract/MED/24293712"", ""https://doi.org/10.1007/s12088-012-0292-9""]",eng,10.1007/s12088-012-0292-9,,"The banana weevil Cosmopolites sordidus (Germar) is one of a number of pests that attack banana crops. The use of the entomopathogenic fungus Beauveria bassiana as a biological control agent for this pest may contribute towards reducing the application of chemical insecticides on banana crops. In this study, the genetic variability of a collection of Brazilian isolates of B. bassiana was evaluated. Samples were obtained from various geographic regions of Brazil, and from different hosts of the Curculionidae family. Based on the DNA fingerprints generated by RAPD and AFLP, we found that 92 and 88 % of the loci were polymorphic, respectively. The B. bassiana isolates were attributed to two genotypic clusters based on the RAPD data, and to three genotypic clusters, when analyzed with AFLP. The nucleotide sequences of nuclear ribosomal DNA intergenic spacers confirmed that all isolates are in fact B. bassiana. Analysis of molecular variance showed that variability among the isolates was not correlated with geographic origin or hosts. A RAPD-specific marker for isolate CG 1024, which is highly virulent to C. sordidus, was cloned and sequenced. Based on the sequences obtained, specific PCR primers BbasCG1024F (5'-TGC GGC TGA GGA GGA CT-3') and BbasCG1024R (5'-TGC GGC TGA GTG TAG AAC-3') were designed for detecting and monitoring this isolate in the field.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,JOUR,rayyan-628420290,How Dopamine Influences Survival and Cellular Immune Response of Rhipicephalus microplus Inoculated with Metarhizium anisopliae,2021,11,"Journal of fungi (Basel, Switzerland)",2309-608X,J Fungi (Basel),7,11,950,"Correa, Thais Almeida;Fiorotti, Jessica;Mesquita, Emily;Meirelles, Laura Nobrega;Camargo, Mariana Guedes;Coutinho-Rodrigues, Caio Junior Balduino;Marciano, Allan Felipe;Bittencourt, Vania Rita Elias Pinheiro;Golo, Patricia Silva","[""http://europepmc.org/abstract/MED/34829237"", ""https://doi.org/10.3390/jof7110950""]",eng,10.3390/jof7110950,,"Dopamine (DA) is a biogenic monoamine reported to modulate insect hemocytes. Although the immune functions of DA are known in insects, there is a lack of knowledge of DA's role in the immune system of ticks. The use of Metarhizium anisopliae has been considered for tick control, driving studies on the immune response of these arthropods challenged with fungi. The present study evaluated the effect of DA on the cellular immune response and survival of Rhipicephalus microplus inoculated with M. anisopliae blastospores. Exogenous DA increased both ticks' survival 72 h after M. anisopliae inoculation and the number of circulating hemocytes compared to the control group, 24 h after the treatment. The phagocytic index of tick hemocytes challenged with M. anisopliae did not change upon injection of exogenous DA. Phenoloxidase activity in the hemolymph of ticks injected with DA and the fungus or exclusively with DA was higher than in untreated ticks or ticks inoculated with the fungus alone, 72 h after treatment. DA was detected in the hemocytes of fungus-treated and untreated ticks. Unveiling the cellular immune response in ticks challenged with entomopathogenic fungi is important to improve strategies for the biological control of these ectoparasites.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2104,JOUR,rayyan-628420911,Effects of single and combined applications of entomopathogenic fungi and nematodes against Rhynchophorus ferrugineus (Olivier),2017,7,Scientific reports,2045-2322,Sci Rep,7,1,5971,"Wakil, Waqas;Yasin, Muhammad;Shapiro-Ilan, David","[""http://europepmc.org/abstract/MED/28729649"", ""https://doi.org/10.1038/s41598-017-05615-3""]",eng,10.1038/s41598-017-05615-3,,"This study was carried out to investigate the insecticidal properties of Beauveria bassiana, Metarhizium anisopliae and Heterorhabditis bacteriophora for their virulence against different larval instars of Rhynchophorus ferrugineus (Olivier). Both fungi were either applied alone or in combination, with H. bacteriophora simultaneously or 1 and 2 weeks after fungal application; EPN were also applied alone. Moreover, assessment of host development, diet consumption, frass production and weight gain were observed at sub-lethal dose rates. In combined treatments, additive and synergistic interactions were observed. Synergism was observed more frequently in H. bacteriophora + B. bassiana combinations than in H. bacteriophora + M. anisopliae combinations, and was higher in early instars than old instars. In 2nd and 4th instars, synergy was noted in H. bacteriophora + B. bassiana combinations at 0, 7 and 14 d intervals and in 6th instar synergy was observed only in H. bacteriophora + B. bassiana combinations (at 0 and 7 d intervals). A decrease in pupation, adult emergence and egg hatching was enhanced in the combined treatments. Furthermore, reduced weights and variation in duration of insect developmental stages were observed among entomopathogens and enhanced in H. bacteriophora + B. bassiana combinations. Larvae treated with sub-lethal concentrations exhibited reductions in food consumption, growth and frass production and weight gain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,JOUR,rayyan-628436050,Susceptibility of two hymenopteran parasitoids of Agrilus planipennis (Coleoptera: Buprestidae) to the entomopathogenic fungus Beauveria bassiana (Ascomycota: Hypocreales).,2012,3,Journal of invertebrate pathology,1096-0805 (Electronic),J Invertebr Pathol,109,3,303-6,Dean KM;Vandenberg JD;Griggs MH;Bauer LS;Fierke MK,https://pubmed.ncbi.nlm.nih.gov/22245471/,eng,10.1016/j.jip.2011.12.004,,"Emerald ash borer (EAB), Agrilus planipennis Fairmaire, native to Asia, is killing ash trees (Fraxinus spp.) across 15 states and southeastern Canada. Integrated pest management using biological control is the only viable long-term approach for controlling the spread of EAB outside of host resistance. Three hymenopteran parasitoids, Spathius agrili Yang, Tetrastichus planipennisi Yang, and Oobius agrili Zhang and Huang were discovered attacking EAB in China and were approved for release in the United States in 2007. The objective of this study was to assess susceptibility of the larval parasitoid species S. agrili and T. planipennisi, relative to that of EAB, to Beauveria bassiana, an entomopathogenic fungus that infects and kills EAB adults when sprayed on ash bark or foliage. Adult EAB and parasitoids were exposed to B. bassiana inoculated ash twigs for 2 h and then monitored daily for death and signs of infection for up to 10 days. All EAB adults exposed to B. bassiana were fatally infected while mean survival for control EAB was 77%. Average survival in the treatment groups for T. planipennisi and S. agrili were 99% and 83%, respectively, indicating these parasitoids are relatively unaffected by exposure to B. bassiana. This research elucidates interactions between a fungal pathogen and two parasitoids of EAB, and provides data necessary to developing a successful multi-stage integrated management approach to control of EAB.",United States,"Animals;*Beauveria;Coleoptera/*parasitology;*Hymenoptera;Pest Control, Biological/*methods",,,,,,,,,,,,,,,,,,,,,,,,,,
2014,JOUR,rayyan-628420811,"Beauveria bassiana (Ascomycota: Hypocreales) Introduced as an Endophyte in Corn Plants and Its Effects on Consumption, Reproductive Capacity, and Food Preference of Dichroplus maculipennis (Orthoptera: Acrididae: Melanoplinae)",2017,1,Journal of insect science (Online),1536-2442,J Insect Sci,17,2,,"Pelizza, Sebastian A;Mariottini, Yanina;Russo, Leticia M;Vianna, M Florencia;Scorsetti, Ana C;Lange, Carlos E","[""http://europepmc.org/abstract/MED/28423416"", ""https://doi.org/10.1093/jisesa/iex024""]",eng,10.1093/jisesa/iex024,,"In this study, the effects of strain Beauveria bassiana (LPSC 1067) as an endophyte in corn plants on consumption, fecundity, and food preference of Dichroplus maculipennis were examined. We observed that the daily consumption by grasshoppers fed with control plants was almost twice that of those that were fed treated plants. Significant differences in fecundity of grasshoppers that were fed with treated plants compared with those that only fed on control plants were also observed. The number of eggs laid per female fed with control plants was 27.2, while the number of eggs laid per female that were fed during 15 d with treated plants was 17.7. Similar results were observed when the number of embryonated eggs was evaluated. The highest number of embryonated eggs were recorded in those females that only fed on control plants (96%) while fewer embryonated eggs were recorded in grasshoppers fed for 15 d with treated plants only (25%). In relation to food preference the average consumption rate for D. maculipennis females on control corn plants was 303.8 24.5 mg while it was only 25 2.1 mg on plants treated with B. bassiana as an endophyte. In summary, we observed that B. bassiana as a corn plant endophyte negatively affected the daily consumption rate, fecundity and food preference of D. maculipennis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2185,JOUR,rayyan-628420996,"Cell electrofusion to improve efficacy and thermotolerance of the entomopathogenic fungus, Beauveria bassiana",2018,11,Journal of applied microbiology,1364-5072,J Appl Microbiol,125,5,1482-1493,"Davari, A;Skinner, M;Parker, BL","[""http://europepmc.org/abstract/MED/29939449"", ""https://doi.org/10.1111/jam.14031""]",eng,10.1111/jam.14031,,"AimsThe aim of this study was to optimize the potential of Beauveria bassiana through cell electrofusion technique with emphasis on improving its thermotolerance and virulence against western flower thrips, Frankliniella occidentalis (Thysanoptera: Thripidae) (WFT).Methods and resultsNine B. bassiana isolates were tested against western flower thrips, F. occidentalis (Thysanoptera: Thripidae) (WFT) to estimate their pathogenicity and speed of infection under laboratory conditions. The isolates were also exposed to 25, 36, 38 and 40C, for 24, 48, 72 and 120 h. Two isolates with the highest virulence against WFT and highest thermotolerance were selected and paired using a cell electrofusion technique to obtain a single strain that was both highly virulent and thermotolerant. To determine the hybrid conidia among the fusion cells, each selected isolate was loaded with a different nuclei-staining fluorescent dye before the fusion process. Hybridized fungal strains were acquired by a series of sequential dilutions and were tested for thermotolerance and virulence against WFT. Those that demonstrated both characteristics (high thermotolerance and virulence) similar to or greater than the parental isolates were considered hybrids.ConclusionsThe results demonstrated that genetic transformation using cell electrofusion can be used to obtain hybrid isolates of fungal pathogens that contain the desired genes from selected isolates. Further DNA-based analysis",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3180,JOUR,rayyan-628422096,UV-B Radiation Tolerance and Temperature-Dependent Activity Within the Entomopathogenic Fungal Genus Metarhizium in Brazil,2021,,Frontiers in fungal biology,2673-6128,Front Fungal Biol,2,,645737,"Couceiro, Joel da Cruz;Fatoretto, Maira Blumer;Demetrio, Clarice Garcia Borges;Meyling, Nicolai Vitt;Delalibera, Italo","[""http://europepmc.org/abstract/MED/37744102"", ""https://doi.org/10.3389/ffunb.2021.645737""]",eng,10.3389/ffunb.2021.645737,,"Metarhizium comprises a phylogenetically diverse genus of entomopathogenic fungi. In Brazil, Metarhizium anisopliae s.str. subclade Mani 2 is predominantly isolated from insects, while M. robertsii and M. brunneum mostly occur in the soil environment. Solar radiation and high temperatures are important abiotic factors that can be detrimental to fungal propagules. We hypothesized that among 12 Brazilian isolates of Metarhizium spp., M. anisopliae Mani 2 (n = 6), being adapted to abiotic conditions of the phylloplane, is more tolerant to UV light and high temperatures than M. robertsii (n = 3) and M. brunneum (n = 3). Inoculum of each isolate was exposed to UV-B for up to 8 h and viability evaluated 48 h later. After 8 h under UV-B, most of the isolates had germination rates below 5%. Discs of mycelia were incubated at different temperatures, and diameter of colonies were recorded for 12 days. Mycelia of M. robertsii isolates grew faster at 33 C, while M. anisopliae and M. brunneum grew most at 25 C. Dry conidia were incubated at 20, 25 or 40 C for 12 days, and then viabilities were examined. At 40 C, conidia of five M. anisopliae isolates were the most tolerant. In the three experiments, considerable intra- and inter-specific variability was detected. The results indicate that conclusions about tolerance to these abiotic factors should be made only at the isolate level.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4375,JOUR,rayyan-628423323,"Combined use of the entomopathogenic fungus, Metarhizium brunneum, and the mosquito predator, Toxorhynchites brevipalpis, for control of mosquito larvae: Is this a risky biocontrol strategy?",2018,3,Journal of invertebrate pathology,0022-2011,J Invertebr Pathol,153,,38-50,"Alkhaibari, Abeer M;Maffeis, Thierry;Bull, James C;Butt, Tariq M","[""http://europepmc.org/abstract/MED/29425967"", ""https://doi.org/10.1016/j.jip.2018.02.003""]",eng,10.1016/j.jip.2018.02.003,,"Mosquitoes transmit several diseases, which are of global significance (malaria, dengue, yellow fever, Zika). The geographic range of mosquitoes is increasing due to climate change, tourism and trade. Both conidial and blastospore formulations of the entomopathogenic fungus, Metarhizium brunneum ARSEF 4556, are being investigated as mosquito larvicides. However, concerns have been raised over possible non-target impacts to arthropod mosquito predators such as larvae of Toxorhynchites brevipalpis which feed on larvae of mosquito vector species. Laboratory-based, small container bioassays showed, that T. bevipalpis larvae are susceptible to relatively high concentrations (i.e. 107 spores ml-1) of inoculum with blastospores being significantly more virulent than conidia. At lower concentrations (e.g. 7 spores ml-1), it appears that M. brunneum complements T. brevipalpis resulting in higher control than if either agent was used alone. At a concentration of 105 spores ml-1, the LT50 of for conidia and blastospores alone was 5.64 days (95% CI: 4.79-6.49 days) and 3.89 days (95% CI: 3.53-4.25 days), respectively. In combination with T. brevipalpis, this was reduced to 3.15 days (95% CI: 2.82-3.48 days) and 2.82 days (95% CI: 2.55-3.08 days). Here, combined treatment with the fungus and predator was beneficial but weaker than additive. At 107 and 108 blastospores ml-1, mo",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,JOUR,rayyan-628422268,Synergistic effect of entomogenous fungi on some insecticides against Bihar hairy caterpillar Spilarctia obliqua (Lepidoptera: Arctiidae),2006,,Microbiological research,0944-5013,Microbiol Res,161,1,38-42,"Purwar, JP;Sachan, GC","[""http://europepmc.org/abstract/MED/16338588"", ""https://doi.org/10.1016/j.micres.2005.04.006""]",eng,10.1016/j.micres.2005.04.006,,"A number of fungal parasites infect a wide range of insects and cause epizootics from time to time. Beauveria bassiana (Balsamo) Vuillemin and Metarhizium anisopliae (Metschnikoff) Sorokin are two of the major disease-causing fungi in insects. Investigations were carried out to study the effect of these fungi on the toxicity of endosulfan, imidacloprid, lufenuron, diflubenzuron, dimethoate and oxydemeton methyl against 10-11 days old larvae of Spilarctia obliqua (Walker). For some products the combination treatments showed higher dose mortality response than the sole treatment of fungal conidia or the insecticide. The combination of insecticides with B. bassiana showed 1.26-35.8 fold increase in toxicity of insecticides over sole treatment, while the increase was 1.05-72.0 fold in case of M. anisopliae. Imidacloprid 17.8 SL and oxydemeton methyl 25EC may be used in combination with these fungi for management of S. obliqua.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5647,JOUR,rayyan-628426126,"Antimicrobial Traits of Beauveria bassiana Against Rhizoctonia solani, the Causal Agent of Sheath Blight of Rice Under Field Conditions.",2023,6,Plant disease,0191-2917 (Print),Plant Dis,107,6,1739-1756,Deb L;Dutta P;Mandal MK;Singh SB,https://pubmed.ncbi.nlm.nih.gov/37327392/,eng,10.1094/PDIS-04-22-0806-RE,,"Beauveria bassiana, an entomopathogenic fungus, has recently drawn attention worldwide not only as a potential biocontrol agent against insect pests but also for its other beneficial roles as plant disease antagonist, endophyte, plant growth promoter, and beneficial rhizosphere colonizer. In the present study, 53 native isolates of B. bassiana were screened for antifungal ability against Rhizoctonia solani, the causal agent of sheath blight of rice. Also, the mechanisms underlying such interaction and the responsible antimicrobial traits involved were studied. Following this, potential B. bassiana isolates were assayed against the reduction of sheath blight of rice under field conditions. The results showed that B. bassiana exhibited antagonistic behavior against R. solani with a percent mycelial inhibition recorded maximum of up to 71.15%. Mechanisms behind antagonism were the production of cell-wall-degrading enzymes, mycoparasitism, and the release of secondary metabolites. The study also deciphered several antimicrobial traits and the presence of virulent genes in B. bassiana as a determinant of potential plant disease antagonists. Under field conditions, combined application of the B. bassiana microbial consortium as a seed treatment, seedling root dip, and foliar sprays showed reduced sheath blight disease incidence and severity up to 69.26 and 60.50%, respectively, along with enhanced plant-growth-promoting attributes. This is one of the few studies investigating the",United States,*Beauveria;Phenotype;*Oryza/microbiology;Antifungal Agents;Rhizoctonia,,,,,,,,,,,,,,,,,,,,,,,,,,
242,JOUR,rayyan-628415460,Exposure of Bed Bugs to Metarhizium anisopliae at Different Humidities,2014,12,Journal of Economic Entomology,,,107,6,2190-2195,"Ulrich, Kevin R.;Feldlaufer, Mark F.;Kramer, Matthew;St. Leger, Raymond J.",https://app.dimensions.ai/details/publication/pub.1052457101,,10.1603/ec14294,,"Bed bugs Cimex lectularius L. were exposed to conidia (spores) of the entomopathogenic fungus Metarhizium anisopliae by feeding, aerosol spray, or contact with a treated surface. Feeding experiments demonstrated that bed bugs were innately susceptible to this fungus. However, only at 98% humidity were mortality rates high, regardless of whether bed bugs were sprayed with a fungal solution or contacted a treated surface. Mortality in treated bed bugs at ambient humidity did not increase when these bed bugs were kept in aggregation with other bed bugs that had recently blood fed to repletion. Based on these laboratory studies, we conclude that M. anisopliae is a poor pathogen for use in control of bed bugs, particularly at humidities that would likely be encountered under field conditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
