record_index,accession_number,title,publication_year,authors,doi,article_link,cite_label,screening_category,screening_categories_all,evidence,abstract_missing,carrier_types,claims,device_or_delivery,extract_status
5447,rayyan-628425361,Using Autumnal Trap Crops to Manage Tarnished Plant Bugs (Lygus lineolaris),2022,"Dumont, Francois;Provost, Caroline",10.3390/insects13050441,https://doi.org/10.3390/insects13050441,Dumont2022,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,full-text,0,,,trap crop mullein,full_text_extracted
2043,rayyan-628420843,Variability in virulence of Beauveria spp. soil isolates against Ostrinia nubilalis,2021,"Medo, Juraj;Medova, Janka;Michalko, Jaroslav;Cagan, Ludovit",10.1111/jen.12806,https://doi.org/10.1111/jen.12806,Medo2021,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|02b_strains_traits,abstract,0,aqueous,mortality mentioned (see abstract),bait_station,endpoint_in_abstract
2964,rayyan-628421874,"Virulence of Beauveria bassiana, Metarhizium anisopliae and Paecilomyces lilacinus to the engorged female Hyalomma anatolicum anatolicum tick (Acari: Ixodidae)",2011,"Sun, Ming;Ren, Qiaoyun;Guan, Guiquan;Liu, Zhijie;Ma, Miling;Gou, Huitian;Chen, Ze;Li, Youquan;Liu, Aihong;Niu, Qingli;Yang, Jifei;Yin, Hong;Luo, Jianxun",10.1016/j.vetpar.2011.03.027,https://doi.org/10.1016/j.vetpar.2011.03.027,Sun2011,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,90% mortality,bait_station,endpoint_in_abstract
5752,rayyan-628426354,A Field Efficacy Evaluation of In2Care Mosquito Traps in Comparison with Routine Integrated Vector Management at Reducing Aedes aegypti.,2021,Buckner EA;Williams KF;Ramirez S;Darrisaw C;Carrillo JM;Latham MD;Lesser CR,10.2987/21-7038,https://doi.org/10.2987/21-7038,Buckner2021,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,,transfer,trap|autodissemination,endpoint_in_abstract
942,rayyan-628419644,A preliminary evaluation of the potential of Beauveria bassiana for bed bug control,2012,"Barbarin, Alexis M;Jenkins, Nina E;Rajotte, Edwin G;Thomas, Matthew B",10.1016/j.jip.2012.04.009,https://doi.org/10.1016/j.jip.2012.04.009,Barbarin2012,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery,full-text,0,oil,transfer,oil residual on jersey knit cotton,full_text_extracted
450,rayyan-628415842,Auto-dissemination of commercially available fungal pathogens in a laboratory assay for management of the brown dog tick Rhipicephalus sanguineus,2019,"Weeks, E. N. I.;Allan, S. A.;Gezan, S. A.;Kaufman, P. E.",10.1111/mve.12426,https://doi.org/10.1111/mve.12426,Weeks2019,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery,abstract,0,,transfer|sporulation,unclear,endpoint_in_abstract
3552,rayyan-628422474,Autodissemination of Beauveria bassiana by sap beetles (Coleoptera: Nitidulidae) to overwintering sites,2003,"Dowd, PF;Vega, FE",10.1080/0958315021000054395,https://doi.org/10.1080/0958315021000054395,Dowd2003,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,full-text,0,,transfer,autoinoculator pheromone + coattractants,full_text_extracted
5454,rayyan-628425450,Autoinoculation trap for management of Hypothenemus hampei (Ferrari) with Beauveria bassiana (Bals.) in coffee crops,2017,"Mota, Luiz Henrique Costa;Silva, Weliton D;Sermarini, Renata Alcarde;Demetrio, Clarice Garcia Borges;Bento, Jose Mauricio S;Delalibera, Italo",10.1016/j.biocontrol.2017.05.007,https://doi.org/10.1016/j.biocontrol.2017.05.007,Mota2017,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,,mortality mentioned (see abstract),trap|autodissemination,endpoint_in_abstract
1430,rayyan-628420167,"Combining insect pathogenic fungi and a pheromone trap for sustainable management of the fall armyworm, Spodoptera frugiperda (Lepidoptera: Noctuidae)",2020,"Akutse, Komivi S;Khamis, Fathiya M;Ambele, Felicitas C;Kimemia, Jane W;Ekesi, Sunday;Subramanian, Sevgan",10.1016/j.jip.2020.107477,https://doi.org/10.1016/j.jip.2020.107477,Akutse2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,,100% mortality,autodissemination|horizontal_transmission,endpoint_in_abstract
2229,rayyan-628421041,Contribution of the horizontal transmission of the entomopathogenic fungus Beauveria bassiana to the overall performance of a fungal powder formulation against Triatoma infestans,2011,"Forlani, Lucas;Pedrini, Nicolas;Juarez, M Patricia",10.2147/rrtm.s22961,https://doi.org/10.2147/rrtm.s22961,Forlani2011,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02b_strains_traits,full-text,0,,transfer,powder formulation,full_text_extracted
3984,rayyan-628422925,Development and evaluation of a novel contamination device that targets multiple life-stages of Aedes aegypti,2014,"Snetselaar, Janneke;Andriessen, Rob;Suer, Remco A;Osinga, Anne J;Knols, Bart Gj;Farenhorst, Marit",10.1186/1756-3305-7-200,https://doi.org/10.1186/1756-3305-7-200,Snetselaar2014,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,,adhesion|transfer,autodissemination|trap,endpoint_in_abstract
357,rayyan-628415666,Development and field evaluation of a lure-and-infect strategy integrating attractants with Beauveria bassiana for controlling Bactrocera dorsalis,2026,"Xie, Jingpeng;Zhang, Lin;Lu, Xianli;Fu, Ying;Guan, Yingxue;Liu, Huan;Wen, Jian;Cao, Fengqin",10.21203/rs.3.rs-8322768/v1,https://doi.org/10.21203/rs.3.rs-8322768/v1,Xie2026,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,protein_bait,mortality mentioned (see abstract),trap|horizontal_transmission,endpoint_in_abstract
2387,rayyan-628421213,"Development of an attract-and-infect device for biological control of lesser mealworm, Alphitobius diaperinus (Coleoptera: Tenebrionidae) in poultry houses",2020,"Hassemer, Marla J;Lopes, Rogerio B;Borges, Miguel;Alves, Luis F A;Withall, David M;Pickett, JA;Laumann, Raul A;Birkett, Michael Alexander;Blassioli-Moraes, Maria C",10.1016/j.biocontrol.2020.104326,https://doi.org/10.1016/j.biocontrol.2020.104326,Hassemer2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,,mortality mentioned (see abstract),trap|horizontal_transmission,endpoint_in_abstract
5397,rayyan-628425286,Dissemination of microbial agents using an autoinoculating device and several insect species as vectors,1995,"Vega, FE;Dowd, PF;Bartelt, RJ",10.1006/bcon.1995.1064,https://doi.org/10.1006/bcon.1995.1064,Vega1995,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,,transfer,autodissemination|trap,endpoint_in_abstract
1976,rayyan-628420771,Effect of bee-vectored Beauveria bassiana on greenhouse beneficials under greenhouse cage conditions,2012,"Shipp, Les;Kapongo, Jean Pierre;Park, Hong-Hyun;Kevan, Peter",10.1016/j.biocontrol.2012.07.008,https://doi.org/10.1016/j.biocontrol.2012.07.008,Shipp2012,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|04-nontarget-ecotox|01-existing-products,abstract,0,,mortality mentioned (see abstract),bee_vectoring,endpoint_in_abstract
563,rayyan-628416045,Efficacy of Beauveria bassiana strain GHA spray applications against coffee berry borer Hypothenemus hampei on Hawai'i Island [Erratum: 2022 ; p.105038],2021,"Wraight, SP;Galaini-Wraight, S;Howes, RL;Castrillo, LA;Griggs, MH;Carruthers, RI;Smith, RH;Matsumoto, TK;Keith, LM",10.1016/j.biocontrol.2021.104587,https://doi.org/10.1016/j.biocontrol.2021.104587,Wraight2021,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy|01-existing-products,abstract,0,,25% mortality,horizontal_transmission|foliar_spray,endpoint_in_abstract
5692,rayyan-628426219,"Evaluating the Vector Control Potential of the In2Care(R) Mosquito Trap Against Aedes aegypti and Aedes albopictus Under Semifield Conditions in Manatee County, Florida.",2017,Buckner EA;Williams KF;Marsicano AL;Latham MD;Lesser CR,10.2987/17-6642R.1,https://doi.org/10.2987/17-6642R.1,Buckner2017,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,,transfer,trap|autodissemination,endpoint_in_abstract
5070,rayyan-628424415,"Laboratory and field evaluation of an autoinoculation device as a tool to manage poultry red mite, Dermanyssus gallinae, infestations with Beauveria bassiana.",2020,Nascimento MM;Alves LFA;de Oliveira DGP;Lopes RB;Guimaraes ATB,10.1007/s10493-020-00466-6,https://doi.org/10.1007/s10493-020-00466-6,Nascimento2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,,viability,autodissemination|trap,endpoint_in_abstract
6146,rayyan-628433046,Microbial Control of the Emerald Ash Borer (Coleoptera: Buprestidae) Using Beauveria bassiana (Hypocreales: Cordycipitaceae) by the Means of an Autodissemination Device,2020,"Srei, Narin;Guertin, Claude;Lavallee, Robert;Lajoie, Marie-Eve;Brousseau, Christian;Bergevin, Rejean;Miller, Fredric;McMillin, Kendra;Trudel, Richard",10.1093/jee/toaa226,https://doi.org/10.1093/jee/toaa226,Srei2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,full-text,0,,transfer,autodissemination|trap|contaminated_forager,full_text_extracted
379,rayyan-628415693,Optimization and efficacy of an autoinoculation device for managing Liriomyza sativae with Beauveria bassiana,2025,"Zhang, Qikai;Wang, Dengjie;Liang, Xinghui;Wang, Haihong;Lyu, Baoqian",,http://europepmc.org/abstract/AGR/IND609241699,Zhang2025b,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,,,autodissemination,no_endpoint_in_abstract
330,rayyan-628415621,Semifield evaluation of autodissemination systems in Aedes notoscriptus and Culex quinquefasciatus and laboratory analysis of In2Care formulation effects,2026,"Paris, Veronique;Bell, Nicholas;Hoffmann, Ary A",10.1093/jme/tjag078,https://doi.org/10.1093/jme/tjag078,Paris2026,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery,abstract,0,,mortality mentioned (see abstract),autodissemination,endpoint_in_abstract
2595,rayyan-628421438,Sexual performance and survival of males of Ceratitis capitata VIENNA 8 (Diptera: Tephritidae) inoculated with a commercial formulation of Beauveria bassiana,2022,"Ramirez y Ramirez, Francisco;Salvador-Figueroa, Miguel;Rosas-Quijano, Raymundo;Cruz-Lopez, Leopoldo;Toledo, Jorge;Quintero-Fong, Luis",,http://europepmc.org/abstract/AGR/IND607628548,RamirezyRamirez2022,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery,abstract,0,,transfer,SIT_vector,endpoint_in_abstract
1175,rayyan-628419892,Simultaneous use of SIT plus disseminator devices of Beauveria bassiana enhances horizontal transmission in Anastrepha ludens,2020,"Montoya, Pablo;Flores, Salvador;Campos, Sergio;Liedo, Pablo;Toledo, Jorge",10.1111/jen.12766,https://doi.org/10.1111/jen.12766,Montoya2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,abstract,0,,transfer,autodissemination|trap|contaminated_forager|SIT_vector,endpoint_in_abstract
,,Biological control of Lygus lineolaris and Frankliniella occidentalis by Bombus impatiens vectored Beauveria bassiana,2006,Al-Mazra'awi MS;Shipp L;Broadbent B;Kevan P,10.1016/j.biocontrol.2005.11.014,https://doi.org/10.1016/j.biocontrol.2005.11.014,AlMazraawi2006,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery,full-text,0,not_in_pdf,not_in_pdf,hive-mounted 1-/2-way dispenser,full_text_extracted
5000,rayyan-628424135,Biopolymer-Based Formulations of Beauveria bassiana for Biological Control of the Cabbage Whitefly (Aleyrodes proletella).,2026,Spasova M;Chervenkova E;Stoeva A;Petkova M;Stoilova O,10.3390/pathogens15050524,https://doi.org/10.3390/pathogens15050524,Spasova2026,02c_formulation_delivery,02c_formulation_delivery,full-text,0,not_in_pdf,not_in_pdf,not_in_pdf,full_text_extracted
1355,rayyan-628420086,Pathogenicity of three formulations of Beauveria bassiana and efficacy of autoinoculation devices and sterile fruit fly males for dissemination of conidia for the control of Ceratitis capitata,2017,"Toledo, Jorge;Flores, Salvador;Campos, Sergio;Villasenor, Antonio;Enkerlin, Walther;Liedo, Pablo;Valle, Alvaro;Montoya, Pablo",10.1111/eea.12608,https://doi.org/10.1111/eea.12608,Toledo2017,02c_formulation_delivery,02c_formulation_delivery,full-text,0,not_in_pdf,not_in_pdf,not_in_pdf,full_text_extracted
