record_index,accession_number,title,publication_year,authors,doi,urls,secondary_title,screening_category,screening_categories_all,tags,inclusion_reason,source_wave,agent_confidence,qa_status,prior_asreview_label
465,rayyan-628415866,Characterization of the synergistic interaction between Beauveria bassiana strain GHA and Bacillus thuringiensis morrisoni strain tenebrionis applied against Colorado potato beetle larvae,2017,"Wraight, S.P.;Ramos, M.E.",10.1016/j.jip.2017.01.007,https://app.dimensions.ai/details/publication/pub.1017099022,Journal of Invertebrate Pathology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
3659,rayyan-628422583,"Comparative toxicity of botanical and reduced-risk insecticides to Mediterranean populations of Tetranychus urticae and Phytoseiulus persimilis (Acari Tetranychidae, Phytoseiidae)",2008,"Duso, Carlo;Malagnini, Valeria;Pozzebon, Alberto;Castagnoli, Marisa;Liguori, Marialivia;Simoni, Sauro",10.1016/j.biocontrol.2008.06.011,"[""http://europepmc.org/abstract/AGR/IND44106031"", ""https://doi.org/10.1016/j.biocontrol.2008.06.011""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
502,rayyan-628415946,Comparative virulence of Beauveria bassiana isolates against lepidopteran pests of vegetable crops,2010,"Wraight, S.P.;Ramos, M.E.;Avery, P.B.;Jaronski, S.T.;Vandenberg, J.D.",10.1016/j.jip.2010.01.001,https://app.dimensions.ai/details/publication/pub.1024587495,Journal of Invertebrate Pathology,02a_efficacy,02a_efficacy,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
468,rayyan-628415877,Comparison of cauliflower-insect-fungus interactions and pesticides for cabbage root fly control,2017,"Razinger, Jaka;Zerjav, Metka;Zemljic-Urbancic, Meta;Modic, Spela;Lutz, Matthias;Schroers, Hans-Josef;Grunder, Jurg;Fellous, Simon;Urek, Gregor",10.1111/1744-7917.12534,https://app.dimensions.ai/details/publication/pub.1091397196,Insect Science,02a_efficacy,02a_efficacy,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
2791,rayyan-628421696,Comparisons of ecorational and chemical insecticides against crucifer flea beetle (Coleoptera: Chrysomelidae) on canola,2007,"Antwi, FB;Olson, DL;Carey, DR",10.1603/0022-0493(2007)100[1201:coeaci]2.0.co;2,"[""http://europepmc.org/abstract/MED/17849871"", ""https://scholarworks.montana.edu/bitstreams/5c9960fe-b204-4348-ad9c-72ddf1e83e94/download""]",Journal of economic entomology,02a_efficacy,02a_efficacy,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
216,rayyan-628415426,Compatibility among entomopathogenic hyphocreales and two beneficial insects used to control Trialeurodes vaporariorum (Hemiptera: Aleurodidae) in Mediterranean greenhouses,2011,"Hamdi, Faten;Fargues, Jacques;Ridray, Gilles;Jeannequin, Benoit;Bonato, Olivier",10.1016/j.jip.2011.05.018,https://app.dimensions.ai/details/publication/pub.1042242650,Journal of Invertebrate Pathology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
2620,rayyan-628421473,Compatibility of Beauveria bassiana with fungicides in vitro and on zucchini plants infested with Trialeurodes vaporariorum,2017,"Roberti, Roberta;Righini, Hillary;Masetti, Antonio;Maini, Stefano",10.1016/j.biocontrol.2017.06.006,"[""http://europepmc.org/abstract/AGR/IND605734927"", ""https://doi.org/10.1016/j.biocontrol.2017.06.006""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
2469,rayyan-628421299,Compatibility of endophytic fungal entomopathogens with plant extracts for the management of sweetpotato whitefly Bemesia tabaci Gennadius (Homoptera: Aleyrodidae),2018,"Jaber, Lara R;Araj, Salah-Eddin;Qasem, Jamal R",10.1016/j.biocontrol.2017.11.009,"[""http://europepmc.org/abstract/AGR/IND605912523"", ""https://doi.org/10.1016/j.biocontrol.2017.11.009""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
728,rayyan-628419417,"Control of the Banded Fruit Weevil, Phlyctinus callosus (Schonherr) (Coleoptera: Curculionidae), Using Entomopathogenic Fungi",2020,"Dlamini, BE;Malan, AP;Addison, P",,http://europepmc.org/abstract/AGR/IND606976509,African entomology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
1621,rayyan-628420380,Delayed efficacy of Beauveria bassiana foliar spray applications against Colorado potato beetle: Impacts of number and timing of applications on larval and next-generation adult populations,2015,"Wraight, SP;Ramos, ME",10.1016/j.biocontrol.2014.12.019,"[""http://europepmc.org/abstract/AGR/IND605328859"", ""https://doi.org/10.1016/j.biocontrol.2014.12.019""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
448,rayyan-628415835,Direct plantlet inoculation with soil or insect-associated fungi may control cabbage root fly maggots,2014,"Razinger, Jaka;Lutz, Matthias;Schroers, Hans-Josef;Palmisano, Marilena;Wohler, Christian;Urek, Gregor;Grunder, Jurg",10.1016/j.jip.2014.05.006,https://app.dimensions.ai/details/publication/pub.1047097238,Journal of Invertebrate Pathology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
305,rayyan-628415572,Do hydraulic pumps and filters of sprayers influence the viability of Beauveria bassiana based mycoinsecticide Botanigard(R)?,2024,"Beltran-Marti, Roberto;Garcera, Cruz;Cuquerella, Jaime J;Catala-Senent, Laura;Izquierdo-Sanz, Hector;Garrido-Jurado, Inma;Chueca, Patricia",,http://europepmc.org/abstract/AGR/IND608317011,Crop Protection,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
303,rayyan-628415563,Dual Action of Beauveria bassiana (Hypocreales; Cordycipitaceae) Endophytic Stains as Biocontrol Agents against Sucking Pests and Plant Growth Biostimulants on Melon and Strawberry Field Plants,2022,"Mantzoukas, Spiridon;Daskalaki, Eufrosini;Kitsiou, Foteini;Papantzikos, Vasileios;Servis, Dimitrios;Bitivanos, Stergios;Patakioutas, George;Eliopoulos, Panagiotis A",10.3390/microorganisms10112306,"[""http://europepmc.org/abstract/MED/36422376"", ""https://www.mdpi.com/2076-2607/10/11/2306/pdf?version=1669110959""]",Microorganisms,02b_strains_traits,02b_strains_traits,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
4781,rayyan-628423732,Effect of air humidity on the infection potential of hyphomycetous fungi as Mycoinsecticides for Trialeurodes vaporariorum,2003,"Vidal, C;Fargues, J;Rougier, M;Smits, N",10.1080/0958315021000073457,"[""http://europepmc.org/abstract/AGR/IND43646757"", ""https://doi.org/10.1080/0958315021000073457""]",Biocontrol science and technology.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
490,rayyan-628415920,Effects of Biorational Pesticides on Four Coccinellid Species (Coleoptera: Coccinellidae) having Potential as Biological Control Agents in Interiorscapes,2000,"Smith, S. F.;Krischik, V. A.",10.1603/0022-0493-93.3.732,https://app.dimensions.ai/details/publication/pub.1020467884,Journal of Economic Entomology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
4974,rayyan-628424076,Effects of Chemical Insecticide Residues and Household Surface Type on a Beauveria bassiana-Based Biopesticide (Aprehend((R))) for Bed Bug Management.,2021,Shikano I;Bellicanta GS;Principato S;Jenkins NE,10.3390/insects12030214,https://pubmed.ncbi.nlm.nih.gov/33802315/,Insects,02a_efficacy,02a_efficacy,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
1666,rayyan-628420426,Effects of different Beauveria bassiana isolates on field populations of Lygus lineolaris in pigweed (Amaranthus spp.),2006,"Leland, JE;McGuire, MR",10.1016/j.biocontrol.2006.08.005,"[""http://europepmc.org/abstract/AGR/IND43862193"", ""https://doi.org/10.1016/j.biocontrol.2006.08.005""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
746,rayyan-628419436,Effects of entomopathogenic fungi on Encarsia formosa Gahan. (Hymenoptera: Aphelinidae) activity and behavior,2016,"Oreste, Monica;Bubici, Giovanni;Poliseno, Michele;Tarasco, Eustachio",10.1016/j.biocontrol.2016.05.011,"[""http://europepmc.org/abstract/AGR/IND605248237"", ""https://doi.org/10.1016/j.biocontrol.2016.05.011""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
406,rayyan-628415733,Effects of four commercial fungal formulations on mortality and sporulation in house flies (Musca domestica) and stable flies (Stomoxys calcitrans),2016,"WEEKS, E. N. I.;MACHTINGER, E. T.;GEZAN, S. A.;KAUFMAN, P. E.;GEDEN, C. J.",10.1111/mve.12201,https://app.dimensions.ai/details/publication/pub.1035909337,Medical and Veterinary Entomology,02a_efficacy,02a_efficacy,existing-products,Named commercial Bb product or registry/approval product record,reaudit_prior_relevant,high,accepted,1
300,rayyan-628415559,Effects of surface type and distance traveled on the efficacy of a Beauveria bassiana (Hypocreales:Cordycipitaceae)-based biopesticide (Aprehend) for bed bug (Hemiptera: Cimicidae) control,2024,"Principato, Simona;DeVries, Zachary C",10.1093/jee/toae184,"[""http://europepmc.org/abstract/MED/39174495"", ""https://doi.org/10.1093/jee/toae184""]",Journal of economic entomology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
2536,rayyan-628421370,Efficacy of Beauveria bassiana formulations against the fungus gnat Lycoriella ingenua,2016,"Andreadis, Stefanos S;Cloonan, Kevin R;Bellicanta, Giovani S;Paley, Kimberly;Pecchia, John;Jenkins, Nina E",10.1016/j.biocontrol.2016.09.003,"[""http://europepmc.org/abstract/AGR/IND605496869"", ""https://doi.org/10.1016/j.biocontrol.2016.09.003""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
2309,rayyan-628421126,"Efficacy of biorational insecticides against chilli thrips, Scirtothrips dorsalis (Thysanoptera: Thripidae), infesting roses under nursery conditions",2017,"Aristizabal, LF;Chen, Y;Cherry, RH;Cave, RD;Arthurs, SP",10.1111/jen.12340,"[""http://europepmc.org/abstract/AGR/IND605720453"", ""https://doi.org/10.1111/jen.12340""]",Journal of Applied Entomology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
307,rayyan-628415576,"Entomopathogenic fungi and chemical insecticides have synergistic action against adult large pine weevil, Hylobius abietis",2025,"van Vlaenderen, Johan;Hennessy, Niamh;O'Tuama, Padraig;Williams, Christopher D;Griffin, Christine T",,http://europepmc.org/abstract/AGR/IND609406866,Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
170,rayyan-628415361,Estimation of Median Lethal Concentration of Three Isolates of Beauveria bassiana for Control of Megacopta cribraria (Heteroptera: Plataspidae) Bioassayed on Solid Lygus spp. Diet,2016,"Portilla, Maribel;Jones, Walker;Perera, Omaththage;Seiter, Nick;Greene, Jeremy;Luttrell, Randall",10.3390/insects7030031,https://app.dimensions.ai/details/publication/pub.1026429724,Insects,02a_efficacy,02a_efficacy,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
299,rayyan-628415557,Ethanol tolerance of fungal strains underlies biocontrol of invasive ambrosia beetles,2026,"Moore, M Elizabeth;Cure, Anne E;Johnson, Thomas W;Biddle, Gregory;Baniszewski, Julie A;Ranger, Christopher M;Milbrath, Lindsey R;Lovett, Brian",10.1093/jee/toag144,"[""http://europepmc.org/abstract/MED/42212565"", ""https://doi.org/10.1093/jee/toag144""]",Journal of economic entomology,02b_strains_traits,02b_strains_traits,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
3941,rayyan-628422880,"Evaluation of Beauveria bassiana applications against adult house fly, Musca domestica, in commercial caged-layer poultry facilities in New York state",2005,"Kaufman, PE;Reasor, C;Rutz, DA;Ketzis, JK;Arends, JJ",10.1016/j.biocontrol.2005.03.011,"[""http://europepmc.org/abstract/AGR/IND43710387"", ""https://doi.org/10.1016/j.biocontrol.2005.03.011""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,reaudit_prior_relevant,high,accepted,1
2472,rayyan-628421302,Evaluation of Entomopathogenic Fungi Against the Western Flower Thrips (Thysanoptera: Thripidae) Under Laboratory Conditions,2016,"Kivett, JM;Cloyd, RA;Bello, NM",,http://europepmc.org/abstract/AGR/IND605581755,Journal of Entomological Science,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
4971,rayyan-628424070,"Evaluation of Spore Acquisition, Spore Production, and Host Survival Time for Tea Shot-Hole Borer, Euwallacea perbrevis, Adults after Exposure to Four Commercial Products Containing Beauveria bassiana.",2023,Chavez AV;Duren EB;Avery PB;Pitino M;Duncan RE;Cruz LF;Carrillo D;Cano LM;Cave RD,10.3390/insects14090726,https://pubmed.ncbi.nlm.nih.gov/37754694/,Insects,02b_strains_traits,02b_strains_traits,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
2215,rayyan-628421027,"Evaluation of insecticides for the management of rough sweetpotato weevil, Blosyrus asellus (Coleoptera: Curculionidae) in Hawai'i island",2018,"Pulakkatu-thodi, Ishakh;Motomura-Wages, Sharon;Miyasaka, Susan",10.1016/j.cropro.2018.08.035,"[""http://europepmc.org/abstract/AGR/IND606144501"", ""https://doi.org/10.1016/j.cropro.2018.08.035""]",Crop Protection,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
495,rayyan-628415930,"Evaluation of organically acceptable insecticides as stand-alone treatments and in rotation for managing yellowmargined leaf beetle, Microtheca ochroloma (Coleoptera: Chrysomelidae), in organic crucifer production",2012,"Balusu, Rammohan R;Fadamiro, Henry Y",10.1002/ps.2297,https://app.dimensions.ai/details/publication/pub.1016105471,Pest Management Science,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
5050,rayyan-628424276,"Evaluation of spray applications of Metarhizium anisopliae, Metarhizium brunneum and Beauveria bassiana against larval winter ticks, Dermacentor albipictus.",2020,Sullivan CF;Parker BL;Davari A;Lee MR;Kim JS;Skinner M,10.1007/s10493-020-00547-6,https://pubmed.ncbi.nlm.nih.gov/33185806/,Experimental & applied acarology,02b_strains_traits,02b_strains_traits,existing-products,Named commercial Bb product or registry/approval product record,reaudit_prior_relevant,high,accepted,1
1227,rayyan-628419950,Fungal entomopathogens as endophytes reduce several species of Fusarium causing crown and root rot in sweet pepper (Capsicum annuum L.),2018,"Jaber, Lara R;Alananbeh, Kholoud M",10.1016/j.biocontrol.2018.08.007,"[""http://europepmc.org/abstract/AGR/IND606365618"", ""https://doi.org/10.1016/j.biocontrol.2018.08.007""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
2482,rayyan-628421313,"Granulate ambrosia beetle, Xylosandrus crassiusculus (Coleoptera: Curculionidae), survival and brood production following exposure to entomopathogenic and mycoparasitic fungi",2013,"Castrillo, Louela A;Griggs, Michael H;Vandenberg, John D",10.1016/j.biocontrol.2013.07.015,"[""http://europepmc.org/abstract/AGR/IND601120622"", ""https://doi.org/10.1016/j.biocontrol.2013.07.015""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
4045,rayyan-628422986,Influence of temperature on the insecticidal effect of Beauveria bassiana in combination with diatomaceous earth against Rhyzopertha dominica and Sitophilus oryzae on stored wheat,2006,"Vassilakos, TN;Athanassiou, CG;Kavallieratos, NG;Kavallieratos, NG;Vayias, BJ",10.1016/j.biocontrol.2006.03.009,"[""http://europepmc.org/abstract/AGR/IND43815051"", ""https://doi.org/10.1016/j.biocontrol.2006.03.009""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
4818,rayyan-628423770,Investigation of native isolates of entomopathogenic fungi for the biological control of three citrus pests,2011,"Goble, TA;Dames, JF;Hill, MP;Moore, SD",10.1080/09583157.2011.608907,"[""http://europepmc.org/abstract/AGR/IND44628218"", ""https://doi.org/10.1080/09583157.2011.608907""]",Biocontrol science and technology.,02a_efficacy,02a_efficacy,existing-products,Named commercial Bb product or registry/approval product record,reaudit_prior_relevant,high,accepted,1
2538,rayyan-628421372,Laboratory Evaluation of Entomopathogenic Fungi for the Control of Khapra Beetle (Coleoptera: Dermestidae) and Their Effects on the Beetles' Fecundity and Longevity,2019,"Mohammed, Akram A;Kadhim, Jamal H;Hasan, Ahmad M H",,http://europepmc.org/abstract/AGR/IND606486035,Journal of Agricultural and Urban Entomology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
2463,rayyan-628421293,"Laboratory and field bioassays on the effects of Beauveria bassiana Vuillemin (Hypocreales: Cordycipitaceae) on red oak borer, Enaphalodes rufulus (Haldeman) (Coleoptera: Cerambycidae)",2013,"Meyers, JM;Stephen, FM;Haavik, LJ;Steinkraus, DC",10.1016/j.biocontrol.2013.02.001,"[""http://europepmc.org/abstract/AGR/IND601120557"", ""https://doi.org/10.1016/j.biocontrol.2013.02.001""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
2871,rayyan-628421777,"Laboratory and glasshouse evaluation of entomopathogenic fungi against the two-spotted spider mite, Tetranychus urticae (Acari: Tetranychidae), on tomato, Lycopersicon esculentum",2005,"Chandler, D;Davidson, G;Jacobson, RJ",10.1080/09583150410001720617,"[""http://europepmc.org/abstract/AGR/IND43703437"", ""https://doi.org/10.1080/09583150410001720617""]",Biocontrol science and technology.,02a_efficacy,02a_efficacy,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
5003,rayyan-628424140,Laboratory assessment of Beauveria bassiana (Hypocreales: Clavicipitaceae) strain GHA for control of Listronotus maculicollis (Coleoptera: Curculionidae) adults.,2013,Clavet C;Hampton E;Requintina M;Alm SR,10.1603/ec12476,https://pubmed.ncbi.nlm.nih.gov/24498729/,Journal of economic entomology,02a_efficacy,02a_efficacy,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
5040,rayyan-628424244,Laboratory bioassay of Beauveria bassiana against Tetranychus urticae (Acari: Tetranychidae) on leaf discs and potted bean plants.,2015,Ullah MS;Lim UT,10.1007/s10493-014-9871-2,https://pubmed.ncbi.nlm.nih.gov/25500970/,Experimental & applied acarology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
268,rayyan-628415507,Laboratory evaluation of Beauveria bassiana strain ATCC74040 as a potential biocontrol agent of Aculops lycopersici,2025,"Sybilska, Anna;Madry, Nina;Wojcik-Gront, Elzbieta;Puchalska, Ewa",10.1038/s41598-025-24062-z,"[""http://europepmc.org/abstract/MED/41249353"", ""https://doi.org/10.1038/s41598-025-24062-z""]",Scientific reports,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
113,rayyan-628415283,Laboratory evaluation of the effect of Beauveria bassiana on the predatory mite Phytoseiulus persimilis (Acari: Phytoseiidae),2017,"Ullah, Mohammad Shaef;Lim, Un Taek",10.1016/j.jip.2017.06.006,https://app.dimensions.ai/details/publication/pub.1086060365,Journal of Invertebrate Pathology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
114,rayyan-628415284,Larval Mortality and Ovipositional Preference in Aedes albopictus (Diptera: Culicidae) Induced by the Entomopathogenic Fungus Beauveria bassiana (Hypocreales: Cordycipitaceae),2022,"Kirsch, John M;Tay, Jia-Wei",10.1093/jme/tjac084,https://app.dimensions.ai/details/publication/pub.1149305122,Journal of Medical Entomology,02a_efficacy,02a_efficacy,existing-products,Named commercial Bb product or registry/approval product record,reaudit_prior_relevant,high,accepted,1
971,rayyan-628419676,Management of Frankliniella occidentalis (Thysanoptera: Thripidae) with granular formulations of entomopathogenic fungi,2012,"Skinner, Margaret;Gouli, Svetlana;Frank, Cheryl E;Parker, Bruce L;Kim, Jae Su",10.1016/j.biocontrol.2012.08.004,"[""http://europepmc.org/abstract/AGR/IND601120484"", ""https://doi.org/10.1016/j.biocontrol.2012.08.004""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
1522,rayyan-628420271,Mitigating trans-boundary movement of Bemisia tabaci (Hemiptera: Aleyrodidae) on Mentha sp. by pre-shipping treatments of biopesticides,2018,"Aristizabal, Luis F;Avery, Pasco B;Kumar, Vivek;Caldwell, Jean H;McKenzie, Cindy L;Osborne, Lance S",10.1016/j.cropro.2018.01.015,"[""http://europepmc.org/abstract/AGR/IND605896375"", ""https://doi.org/10.1016/j.cropro.2018.01.015""]",Crop Protection,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
2896,rayyan-628421802,Mycoinsecticides for aphid management : a biorational approach,2000,"Yeo, Helen",,"[""http://europepmc.org/theses/ETH/523877"", ""https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.523877""]",,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
407,rayyan-628415741,Oviposition Deterrence and Immature Survival of Filth Flies (Diptera: Muscidae) When Exposed to Commercial Fungal Products,2016,"Machtinger, E.T.;Weeks, E.N.I.;Geden, C. J.",10.1093/jisesa/iew032,https://app.dimensions.ai/details/publication/pub.1035122372,Journal of Insect Science,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,reaudit_prior_relevant,high,accepted,1
2589,rayyan-628421432,Pathogenicity of Beauveria bassiana against Immature Stages of Diaphorina citri1 under Laboratory Conditions,2020,"Cruz-Cruz, Damaris;Gomez, Jaime;Barrera, Juan F;Sanchez-Pena, Sergio Rene;Valle Mora, Javier Francisco",,http://europepmc.org/abstract/AGR/IND607115348,Southwestern Entomologist,02a_efficacy,02a_efficacy,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
4965,rayyan-628424056,Persistence and Lethality of a Fungal Biopesticide (Aprehend) Applied to Insecticide-impregnated and Encasement-type Box Spring Covers for Bed Bug Management.,2019,Shikano I;Gomez L;Bellicanta GS;Jenkins NE,10.1093/jee/toz135,https://pubmed.ncbi.nlm.nih.gov/31115457/,Journal of economic entomology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
