record_index,accession_number,title,publication_year,authors,doi,urls,secondary_title,screening_category,screening_categories_all,tags,inclusion_reason,source_wave,agent_confidence,qa_status,prior_asreview_label,abstract,article_link,abstract_missing,abstract_join_method
303,rayyan-628415563,Dual Action of Beauveria bassiana (Hypocreales; Cordycipitaceae) Endophytic Stains as Biocontrol Agents against Sucking Pests and Plant Growth Biostimulants on Melon and Strawberry Field Plants,2022,"Mantzoukas, Spiridon;Daskalaki, Eufrosini;Kitsiou, Foteini;Papantzikos, Vasileios;Servis, Dimitrios;Bitivanos, Stergios;Patakioutas, George;Eliopoulos, Panagiotis A",10.3390/microorganisms10112306,"[""http://europepmc.org/abstract/MED/36422376"", ""https://www.mdpi.com/2076-2607/10/11/2306/pdf?version=1669110959""]",Microorganisms,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"Entomopathogenic fungi (EPF) can colonize plant tissues and serve crops not only as biopesticides but also as biostimulants that promote plant growth and trigger defense mechanisms. In this context, field trials were conducted evaluating two commercial strains of the entomopathogen Beauveria bassiana (Hypocreales: Cordycipitaceae), GHA (Botanigard) and PPRI 5339 (Velifer(R) ES) and a wild strain (AP0101) isolated from Achaia, Greece. The three strains were investigated in the field for their endophytic effects on melon Cucumis melo (Cucurbitales: Cucurbitaceae) and strawberry Fragaria sp. (Rosales: Rosaceae) plants and in particular for their ability to colonize plant tissues, control infestations of sucking insects Aphis gossypii (Hemiptera: Aphididae), Chaetosiphon fragaefolii (Hemiptera: Aphididae) and Frankliniella occidentalis (Thysanoptera: Thripidae), and improve plant growth parameters (plant height, number of flowers and fruits). All experimental fungal strains successfully colonized both plants. A significant decrease in the aphid and thrip populations was observed in the treated plants compared to the untreated control. As for plant growth, the number of flowers and fruits was significantly increased in plants treated with B. bassiana strains AP0101 and PPRI 5339. Our results clearly indicate that fungal endophytes can efficiently act as dual action agents demonstrating both insecticidal and growth-promoting",https://doi.org/10.3390/microorganisms10112306,0,doi
4781,rayyan-628423732,Effect of air humidity on the infection potential of hyphomycetous fungi as Mycoinsecticides for Trialeurodes vaporariorum,2003,"Vidal, C;Fargues, J;Rougier, M;Smits, N",10.1080/0958315021000073457,"[""http://europepmc.org/abstract/AGR/IND43646757"", ""https://doi.org/10.1080/0958315021000073457""]",Biocontrol science and technology.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"Two commercial mycoinsecticides, 'Mycotal', based on Verticillium lecanii and 'Naturalis-L', on Beauveria bassiana, were used at dosages recommended by manufacturers to examine effects of a range of medium and high humidities on infection towards Trialeurodes vaporariorum. Two series of bioassays were carried out using special devices. In one series, a non-excised bean leaf was sandwiched in order to create a chamber above the whitefly-infected area. In another series, three potted whole bean plants were maintained in an airtight plastic box. In both series, conducted at 25 degrees C, relative humidity (RH) was controlled by injecting a circulating constant flow of humidity-regulated air which had passed over a salt solution used to maintain targeted air humidity levels (ranging from 53 to 98.5 and 75 to 98.5% RH, respectively). Microclimatic measurements demonstrated that non-excised leaves significantly increased the air humidity in the air circulating in the immediate environment of the leaf surface as well as that of the whole plant. In the first series of assays under all RH conditions tested (from 70 to 98% RH after passage above the leaves), both mycoinsecticides induced high mortality rates (92-100%). The fungal effect occurred early, since at least 70% of whiteflies died as second instars, before the next molt occurred. Fungus-induced mortality appeared to be independent of the expected humidity level. In the second series of assays, mortality rates were high (98-100",https://doi.org/10.1080/0958315021000073457,0,doi
1892,rayyan-628420676,Effect of seed treatment duration on growth and colonization of Vicia faba by endophytic Beauveria bassiana and Metarhizium brunneum,2016,"Jaber, Lara R;Enkerli, Juerg",10.1016/j.biocontrol.2016.09.008,"[""http://europepmc.org/abstract/AGR/IND605840169"", ""https://doi.org/10.1016/j.biocontrol.2016.09.008""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"The effect of increased duration of seed treatment with two fungal entomopathogens, Beauveria bassiana (NATURALIS) and Metarhizium brunneum (BIPESCO5), on the growth and colonization of broad bean (Vicia faba) was assessed in two replicate greenhouse experiments. The plants were inoculated by soaking seeds in a concentration of 1107conidiaml1 of each of the two fungal strains or in sterile distilled water containing 0.1% Tween 80 for 2, 8, and 16h. Percent seed germination and seedling emergence as well as primary root length were determined seven days post inoculation. Effects of fungal strain and seed treatment duration on plant height, number of leaf pair, fresh root and shoot weight were measured 14 and 28days post inoculation. Seed treatment with either fungal strain significantly enhanced almost all measured plant growth parameters. Overall, plant growth was also significantly enhanced as seed treatment duration increased; irrespective of fungal strain. Percent colonization of different plant parts (root, leaf, and stem) sampled 14 and 28days post inoculation increased as the duration of seed treatment increased as well. The increase in colonization rate due to increased seed treatment duration varied significantly among plant parts, but not among both sampling dates. Our study demonstrates that M. brunneum can systemically colonize different plant parts and improve plant growth when applied as a seed treatment. This was also confirmed for the well-known endophytic B.",https://doi.org/10.1016/j.biocontrol.2016.09.008,0,doi
490,rayyan-628415920,Effects of Biorational Pesticides on Four Coccinellid Species (Coleoptera: Coccinellidae) having Potential as Biological Control Agents in Interiorscapes,2000,"Smith, S. F.;Krischik, V. A.",10.1603/0022-0493-93.3.732,https://app.dimensions.ai/details/publication/pub.1020467884,Journal of Economic Entomology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"The direct toxicity of insecticidal soap, horticultural oil, Azatin, an extract from the Neem tree containing azadiractin, and BotainiGard, a commercial formulation of the entomopathogenic fungus Beauveria bassiana, was assessed on adults of four species of coccinellids--Hippodamia convergens (Guerin-Meneville), Coleomegilla maculata (DeGeer), Harmonia axyridis Pallas, and Cryptolaemus montrouzieri Mulsant. All biorationals caused less mortality than a conventional pesticide, carbaryl (Sevin). Horticultural oil (Sunspray ultrafine oil) consistently had no effect on beetle survivorship. Insecticidal soap (M-Pede) significantly reduced survival in all replicates for C. maculata and in at least one of the three replicates for the other three coccinellid species. Beauveria bassiana (BotaniGard) significantly reduced survival of C. montrouzieri at 72 h after spray in all three replicates. Azatin reduced survivorship in only one species, C. maculata, in only one of the three replicates.",https://doi.org/10.1603/0022-0493-93.3.732,0,doi
4974,rayyan-628424076,Effects of Chemical Insecticide Residues and Household Surface Type on a Beauveria bassiana-Based Biopesticide (Aprehend((R))) for Bed Bug Management.,2021,Shikano I;Bellicanta GS;Principato S;Jenkins NE,10.3390/insects12030214,https://pubmed.ncbi.nlm.nih.gov/33802315/,Insects,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"The biopesticide Aprehend, containing spores of the entomopathogenic fungus Beauveria bassiana, is a biological control agent for the management of the common bed bug (Cimex lectularius L.) (Hemiptera: Cimicidae). The spores are applied in strategically placed barriers, which bed bugs walk across as they search for a bloodmeal. Application of chemical insecticides by the general public and professional pest managers is common, which means that Aprehend may be sprayed on existing insecticide residues. We evaluated the effect of chemical residues, of 22 different chemical insecticides on different household surface types. We found that residues from 12 chemical pesticides significantly reduced spore viability measured 5 weeks after application in comparison to the control. However, efficacy of Aprehend, as measured by bed bug mortality and mean survival time after exposure to sprayed surfaces, seven weeks after application was not impacted detrimentally. Furthermore, in some cases, efficacy of old chemical residues was enhanced by the combination of chemical and Aprehend seven weeks after application. Surface type also played a role in the relative efficacy of all products and combinations, particularly as the residues aged.",https://doi.org/10.3390/insects12030214,0,doi
1666,rayyan-628420426,Effects of different Beauveria bassiana isolates on field populations of Lygus lineolaris in pigweed (Amaranthus spp.),2006,"Leland, JE;McGuire, MR",10.1016/j.biocontrol.2006.08.005,"[""http://europepmc.org/abstract/AGR/IND43862193"", ""https://doi.org/10.1016/j.biocontrol.2006.08.005""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"The tarnished plant bug, Lygus lineolaris (Palisot de Beauvois), is a pest of various fruit, vegetable, fiber, and seed crops; including cotton. Lygus spp. populations often build on alternate host plants before moving to cotton, and in the midsouthern U.S. wild host plants, such as pigweed (Amaranthus spp.), play a major role in L. lineolaris population development. Three isolates of the entomopathogenic fungus Beauveria bassiana (Balsamo) were evaluated for L. lineolaris control in redroot pigweed (Amaranthus retroflexus L.): one from L. lineolaris in Mississippi (TPB3); one from Lygus hesperus (Knight) in California (WTPB2); and one commercial isolate from Mycotrol(R) (GHA). Fungal applications resulted in moderate to high mycosis in adults (33 to 80%) and moderate mycosis in nymphs (36 to 53%) that were collected from field plots at 2 days post-treatment and incubated under laboratory conditions. Although TPB3 was previously found to be more pathogenic in laboratory bioassays, there was not a consistent separation of this isolate from the other two isolates in field trials. Where differences in adult mycosis or mortality were observed, TPB3 was the most pathogenic. However, in one field trial 7 day mortality for nymphs treated with GHA was higher than those treated with TPB3 or WTPB2. Infection rates at 2, 7, and 14 days post-treatment from caged and non-caged adults suggested that movement of adults among plots occurred, which could have masked some treatment effects. Fung",https://doi.org/10.1016/j.biocontrol.2006.08.005,0,doi
746,rayyan-628419436,Effects of entomopathogenic fungi on Encarsia formosa Gahan. (Hymenoptera: Aphelinidae) activity and behavior,2016,"Oreste, Monica;Bubici, Giovanni;Poliseno, Michele;Tarasco, Eustachio",10.1016/j.biocontrol.2016.05.011,"[""http://europepmc.org/abstract/AGR/IND605248237"", ""https://doi.org/10.1016/j.biocontrol.2016.05.011""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"The effects of a previously selected entomopathogenic fungus, Beauveria bassiana AL1 strain, and the B. bassiana-based mycoinsecticide Naturalis were evaluated on the Trialeurodes vaporariorum-Encarsia formosa system. The parasitoid's ability to recognize uninfected and infected hosts was examined by evaluation of E. formosa tropism in 'choice' conditions and its activity (residence time on leaf, searching time, handling hosts time and hosts acceptance) in no-choice conditions. Finally, the role of E. formosa in transmitting the mycoses from infected to uninfected host populations was estimated. E. formosa showed no differential tropism in 'choice' conditions. It was able neither to locate the host at distance nor to discriminate between infected and uninfected hosts. E. formosa was able to vector fungal propagules from contaminated to uncontaminated hosts during its activity. The results of these laboratory experiments have clarified some biological and behavioral aspects of pathogen-host-parasitoid interactions.",https://doi.org/10.1016/j.biocontrol.2016.05.011,0,doi
406,rayyan-628415733,Effects of four commercial fungal formulations on mortality and sporulation in house flies (Musca domestica) and stable flies (Stomoxys calcitrans),2016,"WEEKS, E. N. I.;MACHTINGER, E. T.;GEZAN, S. A.;KAUFMAN, P. E.;GEDEN, C. J.",10.1111/mve.12201,https://app.dimensions.ai/details/publication/pub.1035909337,Medical and Veterinary Entomology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,reaudit_prior_relevant,high,accepted,1,"The house fly Musca domestica L. (Diptera: Muscidae) and stable fly Stomoxys calcitrans (L.) (Diptera: Muscidae) are major pests of livestock. Biological control is an important tool in an integrated control framework. Increased mortality in filth flies has been documented with entomopathogenic fungi, several strains of which are commercially available. Three strains of Beauveria bassiana (Balsamo-Crivelli) Vuillemin (Hypocreales: Cordycipitaceae) and one strain of Metarhizium brunneum (Petch) (Hypocreales: Clavicipitaceae) were tested in commercial formulations for pathogenicity against house flies and stable flies. There was a significant increase in mortality of house flies with three of the formulations, BotaniGard(R) ES, Mycotrol(R) O, and Met52(R) EC, during days 4-9 in comparison with balEnceTM and the control. In stable flies, mortality rates were highest with Met52(R) EC, followed by Mycotrol(R) O, BotaniGard(R) ES and, finally, balEnceTM. There was a significant fungal effect on sporulation in both house flies and stable flies. Product formulation, species differences and fungal strains may be responsible for some of the differences observed. Future testing in field situations is necessary. These commercial biopesticides may represent important tools in integrated fly management programmes.",https://doi.org/10.1111/mve.12201,0,doi
300,rayyan-628415559,Effects of surface type and distance traveled on the efficacy of a Beauveria bassiana (Hypocreales:Cordycipitaceae)-based biopesticide (Aprehend) for bed bug (Hemiptera: Cimicidae) control,2024,"Principato, Simona;DeVries, Zachary C",10.1093/jee/toae184,"[""http://europepmc.org/abstract/MED/39174495"", ""https://doi.org/10.1093/jee/toae184""]",Journal of economic entomology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"The cryptic behavior that characterizes bed bugs (Cimex lectularius L.) makes them one of the most difficult indoor pests to control. Thus, the use of products with long residual efficacy is a key component of successful bed bug management. Aprehend is a biopesticide for bed bug control, whose active ingredient is the entomopathogenic fungus, Beauveria bassiana. This product shows promise for extended bed bug control against pyrethroid-resistant bed bugs, causing mortality days after contact with the treated surface. However, it is unclear how surface type and distance traveled by bed bugs over a treated surface impact efficacy. Therefore, we evaluated the efficacy of different Aprehend band widths applied to different substrates commonly encountered by bed bugs, looking specifically at average time to mortality and overall mortality. Our findings indicate that exposure to fresh applications of Aprehend resulted in high mortality when bed bugs traveled very short distances (1 cm) over some Aprehend-treated surfaces (vinyl tile and cotton jersey fabric), while exposure to other treated surfaces (unfinished pinewood and painted drywall) resulted in comparatively lower mortality even over longer distances (5 cm). Furthermore, we found that bed bugs crawling on cotton jersey fabric picked up a significantly higher number of spores compared to unfinished pinewood. These results indicate that applications of Aprehend as 5 cm (2 inches) bands according to label recommendations can b",https://doi.org/10.1093/jee/toae184,0,doi
362,rayyan-628415672,Effects of tomato treatments with commercial formulations of entomopathogenic fungi on the pest Tuta absoluta and the predator Macrolophus pygmaeus,2025,"Scovero, Sara;Moraglio, Silvia T;Tavella, Luciana",,http://europepmc.org/abstract/AGR/IND609230061,Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"Tuta absoluta is a devasting pest causing severe yield losses in most tomato-growing areas. Macrolophus pygmaeus is a generalist predator released in tomato crop to control T. absoluta. Entomopathogenic fungi are also used on tomato against other pests, but they can play a role in controlling T. absoluta. Therefore, the effects of two commercial products Naturalis(R) and Mycotal(R), based on the entomopathogenic fungi Beauveria bassiana and Akanthomyces muscarius, respectively, on T. absoluta and M. pygmaeus were assessed. In no-choice tests on leaflets, mortality was significantly higher on fungus-treated leaflets for 1st-2nd instar T. absoluta larvae, and not for 3rd-4th instar larvae and for both younger and older M. pygmaeus nymphs. Similarly, in no-choice tests on plants, development rate was significantly lower only for T. absoluta on plants treated with Mycotal(R). In two-choice tests, both pest and predator did not show any preference between fungus-treated and untreated plants. Following the laboratory results, Mycotal(R) was applied also in plastic tunnel cultivation of tomato under field conditions. The number of T. absoluta larvae was significantly lower on plants treated with Mycotal(R) than on untreated plants, while the presence of M. pygmaeus was not affected by the treatment. Therefore, the use of fungal products together with the predator appears to be a promising strategy for the control of T. absoluta on tomato crop.",http://europepmc.org/abstract/AGR/IND609230061,0,title
1402,rayyan-628420138,Efficacy of Beauveria bassiana (Hyphomycetes) for control of Russian wheat aphid (Homoptera: Aphididae) on resistant wheat under field conditions,2004,"Hatting, JL;Wraight, SP;Miller, RM",10.1080/09583150410001683501,"[""http://europepmc.org/abstract/AGR/IND43731302"", ""https://doi.org/10.1080/09583150410001683501""]",Biocontrol science and technology.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"The Russian wheat aphid, Diuraphis noxia (Kurdjumov) (Homoptera: Aphididae) is considered the most important pest of wheat produced under dryland field conditions in South Africa. As part of an integrated pest management strategy, the entomopathogenic hyphomycete Beauveria bassiana (Balsamo) Vuillemin was evaluated in combination with antibiotic host plant resistance under dryland field conditions during 1998 and 1999. A commercial formulation, Mycotrol ES, was applied at a rate of 2.4 L (5 x 10(13) conidia) per hectare +0.1% organosilicone surfactant. During both years, two applications were administered, i.e., on growth stages 31 (first node detectable) and 39 (early flag leaf). An additional treatment, application at growth stage 39 only, was included during 1999. Over the duration of the 1998 trial, ca. 65% fewer aphids were observed on treated plots compared with controls. A similar level of population reduction was observed during the 1999 trial; however, treatment effects were only briefly evident due to a rapid field-wide decline in aphid populations caused by adverse (cool, wet) weather conditions. The early application (GS 31) resulted in some level of control only during 1998. It was hypothesized that this phenomenon was the result of greater exposure to the spray applications and/or greater secondary pick-up of fungal inoculum by the aphids due to the higher level of aphid activity observed on the cultivar employed during that year. In this regard, migration of D.",https://doi.org/10.1080/09583150410001683501,0,doi
2536,rayyan-628421370,Efficacy of Beauveria bassiana formulations against the fungus gnat Lycoriella ingenua,2016,"Andreadis, Stefanos S;Cloonan, Kevin R;Bellicanta, Giovani S;Paley, Kimberly;Pecchia, John;Jenkins, Nina E",10.1016/j.biocontrol.2016.09.003,"[""http://europepmc.org/abstract/AGR/IND605496869"", ""https://doi.org/10.1016/j.biocontrol.2016.09.003""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"Lycoriella ingenua Dufour (Diptera: Sciaridae) is a major pest species in commercial mushroom (Agaricus bisporus) production throughout the world. Grower demand for alternative control measures, following the recent withdrawal of a number of chemical control options, led to a label extension for use of the fungal biopesticide BotaniGard(R) ES, for control of mushroom flies. Semi-field trials were conducted to evaluate the efficacy of BotaniGard(R) ES, and two alternative formulations of Beauveria bassiana strain GHA (the active ingredient in BotaniGard(R) ES), for control of L. ingenua, and their effect on crop yield when incorporated at spawning. Data collected from two replicated trials demonstrated that incorporation of B. bassiana was not detrimental to mushroom yield, but was also ineffective in controlling the development of L. ingenua larvae in artificially infested compost. Subsequent laboratory bioassays demonstrated that L. ingenua eggs and larvae were not susceptible to infection by B. bassiana strain GHA whereas pupae were somewhat susceptible (41% mortality). Bioassays conducted on adult L. ingenua using 1h exposure to a surface sprayed with BotaniGard(R) ES resulted in 100% mortality within 8days and a mean survival time of 6days, which was significantly different from the control population.",https://doi.org/10.1016/j.biocontrol.2016.09.003,0,doi
2309,rayyan-628421126,"Efficacy of biorational insecticides against chilli thrips, Scirtothrips dorsalis (Thysanoptera: Thripidae), infesting roses under nursery conditions",2017,"Aristizabal, LF;Chen, Y;Cherry, RH;Cave, RD;Arthurs, SP",10.1111/jen.12340,"[""http://europepmc.org/abstract/AGR/IND605720453"", ""https://doi.org/10.1111/jen.12340""]",Journal of Applied Entomology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"We evaluated biopesticides based on entomopathogenic fungi, azadirachtin and horticultural oils for the management of the chilli thrips, Scirtothrips dorsalis Hood, an economically significant invasive pest in the United States. Insecticides were applied four times at 7- to 10-day intervals against established S. dorsalis infestations on shrub roses KnockOut(R), Rosa x 'Radrazz' under simulated nursery conditions. When applied as stand-alone treatments, Beauveria bassiana GHA (BotaniGard(R) ES), Metarhizium brunneum F52 (Met-52 EC), a horticultural oil (SuffOil-X(R)) and azadirachtin (Molt-X(R)) at label rates provided significant control, reducing populations of S. dorsalis by 48-71% compared with control over 4-6 weeks. Similar results were observed when the biopesticides were applied in rotation with each other. A conventional standard, spinosad (Conserve(R) SC), was consistently the most effective treatment in these studies, reducing thrips populations by 95% overall. In another study, more effective control (87%-92%) was achieved in biopesticide rotation programmes that included spinosad, when compared with those that did not. Results also showed that these biopesticides can be tank-mixed. However, there was no evidence that B. bassiana or M. brunneum combined with azadirachtin resulted in additive or synergistic control, as neither tank-mix treatment improved control compared with azadirachtin alone. These findings highlight the potential use of biopesticides in rotation program",https://doi.org/10.1111/jen.12340,0,doi
307,rayyan-628415576,"Entomopathogenic fungi and chemical insecticides have synergistic action against adult large pine weevil, Hylobius abietis",2025,"van Vlaenderen, Johan;Hennessy, Niamh;O'Tuama, Padraig;Williams, Christopher D;Griffin, Christine T",,http://europepmc.org/abstract/AGR/IND609406866,Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"The large pine weevil, Hylobius abietis, is a serious pest of reforestation across much of northern Europe. Larvae develop in the stumps and roots of recently felled conifers, and adults feed on the bark of young trees used to replant the site. Entomopathogenic fungi and chemical insecticides, alone and in combination, were tested against adult pine weevil in laboratory and field experiments. In a broad screening experiment, weevils were dipped in conidial suspension of Beauveria bassiana (Bb Naturalis and Bb SC4), Beauveria caledonica (Bc SG61) and Metarhizium anisopliae (Ma F52 and Ma SG6) and/or provided with twigs treated with chemical insecticides (cypermethrin, acetamiprid and thiacloprid). When assessed after 14 or 17 days, there was higher weevil mortality in combined treatments than expected based on individual treatments, with synergistic effects demonstrated in most cases. In a second laboratory experiment, Bb Naturalis, Bc SG61 and Ma F52 applied in each of two ways, either by dipping weevils or contaminating the substrate, gave synergistic effects in combination with cypermethrin, and mainly additive effects with acetamiprid. Weevil cadavers in all fungus-insecticide treatments tested developed mycosis, which would facilitate recycling of fungi in the field. In a field trial, a commercial formulation of Ma F52 (Met52) and cypermethrin were tested alone and in combination for protection of young Sitka spruce trees. Weevil feeding damage on trees treated with Met52",http://europepmc.org/abstract/AGR/IND609406866,0,title
4967,rayyan-628424061,Entomopathogenic fungus Beauveria bassiana-based bioinsecticide suppresses severity of powdery mildews of vegetables by inducing the plant defense responses.,2023,Iida Y;Higashi Y;Nishi O;Kouda M;Maeda K;Yoshida K;Asano S;Kawakami T;Nakajima K;Kuroda K;Tanaka C;Sasaki A;Kamiya K;Yamagishi N;Fujinaga M;Terami F;Yamanaka S;Kubota M,10.3389/fpls.2023.1211825,https://pubmed.ncbi.nlm.nih.gov/37692425/,Frontiers in plant science,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"The entomopathogenic fungus Beauveria bassiana is used commercially as a microbial insecticides against a wide range of agricultural insect pests. Some strains of B. bassiana protect the plants from pathogens, but the underlying mechanisms are largely unknown. Here, we found that prophylactic sprays of commercial bioinsecticide Botanigard on cucumber, tomato, and strawberry plants suppressed the severity of economically damaging powdery mildews. On leaf surfaces, hyphal elongation and spore germination of cucumber powdery mildew, Podosphaera xanthii, were inhibited, but B. bassiana strain GHA, the active ingredient isolated from Botanigard, only inhibited hyphal elongation but had no effect on spore germination of P. xanthii. In addition, strain GHA suppressed powdery mildew symptoms locally, not systemically. Treatment with Botanigard and strain GHA induced a hypersensitive response (HR)-like cell death in epidermal cells of the cucumber leaves in a concentration-dependent manner and inhibited penetration by P. xanthii. Transcriptome analysis and mass spectrometry revealed that GHA induced expression of salicylic acid (SA)-related genes, and treatment with Botanigard and GHA increased the SA level in the cucumber leaves. In NahG-transgenic tomato plants, which do not accumulate SA, the biocontrol effect of tomato powdery mildew by GHA was significantly reduced. These results suggested that B. bassiana GHA induces SA accumulation, leading to the induction of HR-like cell dea",https://doi.org/10.3389/fpls.2023.1211825,0,doi
170,rayyan-628415361,Estimation of Median Lethal Concentration of Three Isolates of Beauveria bassiana for Control of Megacopta cribraria (Heteroptera: Plataspidae) Bioassayed on Solid Lygus spp. Diet,2016,"Portilla, Maribel;Jones, Walker;Perera, Omaththage;Seiter, Nick;Greene, Jeremy;Luttrell, Randall",10.3390/insects7030031,https://app.dimensions.ai/details/publication/pub.1026429724,Insects,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"The kudzu bug, Megacopta cribraria (F.), is an urban nuisance and significant agricultural pest. The median lethal concentrations of three strains of Beauveria bassiana (Balsamo), including the Mississippi Delta native strain (NI8) isolated from Lygus lineolaris (Palisot de Beauvois), the commercial strain BotaniGard((R)) (GHA) (Victor, NY, USA), and the B. bassiana strain isolated from M. cribraria (KUDSC), were estimated on kudzu bug adults. A technique developed to evaluate B. bassiana against L. lineolaris was used. Younger adults (eight days after collection) were treated with NI8 and GHA and older adult (50 days after collection) were treated with NI8, GHA and KUDSC. Higher concentrations (n 106, n 107) of NI8 and GHA caused kudzu bug mortality two days after treatment in younger adults and similar concentrations of NI8, GHA, and KUDSC caused mortality one day after treatment in older adults. Lower concentrations (n 104, n 105) were not significantly different in mortality between strains. LS50 values of the KUDSC were significantly lower than NI8 and GHA values in older adults. This is the first available information on median lethal concentration of B. bassiana on kudzu bug adults bioassayed on artificial diet. It was determined that B. bassiana (KUDSC and NI8) are highly effective for young adults at very low doses (LC50 1.98-4.98 viable spores per mm2).",https://doi.org/10.3390/insects7030031,0,doi
299,rayyan-628415557,Ethanol tolerance of fungal strains underlies biocontrol of invasive ambrosia beetles,2026,"Moore, M Elizabeth;Cure, Anne E;Johnson, Thomas W;Biddle, Gregory;Baniszewski, Julie A;Ranger, Christopher M;Milbrath, Lindsey R;Lovett, Brian",10.1093/jee/toag144,"[""http://europepmc.org/abstract/MED/42212565"", ""https://doi.org/10.1093/jee/toag144""]",Journal of economic entomology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"Entomopathogenic fungi are widely recognized as biological control agents showing potential against insect pests that are difficult to manage with chemical pesticides. Invasive ambrosia beetles threaten a wide variety of tree crops and prove challenging to manage with chemical pesticides due to their unique life history: entrenched in the xylem of tree hosts, feeding on symbiotic fungi. Many ambrosia beetle species attack trees that are flood-stressed and producing ethanol, a key component of growth for their fungal symbiont. Ethanol causes osmotic and chaotropic stress in microbes and could prevent successful biocontrol of ambrosia beetles using insect-killing microbes. To investigate the potential of entomopathogenic fungi to manage ambrosia beetles, we conducted a series of experiments using 3 species in eastern North America (Xylosandrus germanus, Xylosandrus crassiusculus, and Anisandrus maiche). We tested the efficacy of 3 microbial-based commercially available biopesticides (Botanigard 22 WP: Beauveria bassiana; Met52: Metarhizium brunneum; and PFR-97 20% WDG: Cordyceps javanica) in a series of environments with and without ethanol. We found that B. bassiana was the most effective against all 3 beetle species, but that its pathogenicity was heavily dependent on the ethanol-tolerance of the strain used. We isolated 2 strains of B. bassiana from separate batches of Botanigard that demonstrated significant differences in ethanol tolerance, as well as pathogenicity, radial",https://doi.org/10.1093/jee/toag144,0,doi
3941,rayyan-628422880,"Evaluation of Beauveria bassiana applications against adult house fly, Musca domestica, in commercial caged-layer poultry facilities in New York state",2005,"Kaufman, PE;Reasor, C;Rutz, DA;Ketzis, JK;Arends, JJ",10.1016/j.biocontrol.2005.03.011,"[""http://europepmc.org/abstract/AGR/IND43710387"", ""https://doi.org/10.1016/j.biocontrol.2005.03.011""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,reaudit_prior_relevant,high,accepted,1,"Applications of a commercially produced Beauveria bassiana product, balEnce, were compared with pyrethrin treatments for the control of adult house flies in New York high-rise, caged-layer poultry facilities. An integrated fly management program, which included the release of house fly pupal hymenopteran parasitoids, was used at all facilities. Adult house fly populations were lower in B. bassiana-treated facilities during the spray and post-spray periods, as recorded on spot cards. Concurrently, the numbers of house fly larvae recovered in B. bassiana-treated facilities were less than one-half that of the pyrethrin-treated facilities. House fly pupal parasitism levels were low, but similar under both treatment regimes. The numbers of adult and larval Carcinops pumilio, a predatory beetle, recovered from B. bassiana-treated facilities were 43 and 66% greater than from the pyrethrin-treated facilities, respectively.",https://doi.org/10.1016/j.biocontrol.2005.03.011,0,doi
